,real_time,static
0,"[(11.083333333333334, 9.954), (13.016666666666667, 9.098), (11.533333333333333, 8.818), (15.683333333333334, 11.574), (11.6, 6.874), (6.966666666666667, 4.912), (15.416666666666666, 11.257), (4.033333333333333, 2.474), (8.3, 5.569), (9.85, 6.53)]","[(11.083333333333334, 9.954), (13.016666666666667, 9.098), (11.533333333333333, 8.818), (15.683333333333334, 11.574), (11.6, 6.874), (6.966666666666667, 4.912), (15.416666666666666, 11.257), (4.033333333333333, 2.474), (8.3, 5.569), (9.85, 6.53)]"
1,"[(12.616666666666667, 10.252), (4.383333333333334, 1.517), (4.966666666666667, 2.346), (7.316666666666666, 3.056), (11.166666666666666, 6.853), (11.75, 7.682), (11.45, 4.942), (4.316666666666666, 1.765), (9.75, 3.425), (8.716666666666667, 3.39)]","[(12.616666666666667, 10.252), (4.383333333333334, 1.517), (4.966666666666667, 2.346), (7.316666666666666, 3.056), (11.166666666666666, 6.853), (11.75, 7.682), (11.45, 4.942), (4.316666666666666, 1.765), (9.75, 3.425), (8.716666666666667, 3.39)]"
2,"[(12.966666666666667, 8.439), (11.883333333333333, 5.231), (4.816666666666666, 1.619), (8.566666666666666, 4.149), (5.483333333333333, 3.123), (6.8, 6.274), (4.433333333333334, 4.29), (8.8, 4.517), (6.8, 3.71), (2.9833333333333334, 2.204)]","[(12.966666666666667, 8.439), (11.883333333333333, 5.231), (4.816666666666666, 1.619), (8.566666666666666, 4.149), (5.483333333333333, 3.123), (6.8, 6.274), (4.433333333333334, 4.29), (8.8, 4.517), (7.35, 3.71), (2.9833333333333334, 2.204)]"
3,"[(5.116666666666666, 2.01), (10.966666666666667, 4.063), (21.783333333333335, 7.848), (7.233333333333333, 3.081), (7.4, 2.808), (18.216666666666665, 6.593), (3.6666666666666665, 1.826), (11.45, 3.209), (6.366666666666666, 2.28), (14.916666666666666, 6.635)]","[(5.1, 2.01), (10.95, 4.063), (21.766666666666666, 7.848), (7.216666666666667, 3.081), (7.4, 2.808), (18.216666666666665, 6.593), (3.6666666666666665, 1.826), (11.45, 3.209), (6.366666666666666, 2.28), (14.916666666666666, 6.635)]"
4,"[(3.966666666666667, 1.503), (5.85, 2.033), (2.15, 0.902), (4.25, 1.662), (6.083333333333333, 1.947), (4.366666666666666, 1.58), (7.883333333333334, 2.548), (4.15, 1.294), (4.85, 1.532), (4.116666666666666, 1.45)]","[(3.966666666666667, 1.503), (5.85, 2.033), (2.15, 0.902), (4.25, 1.662), (6.083333333333333, 1.947), (4.366666666666666, 1.58), (7.883333333333334, 2.548), (4.15, 1.294), (4.85, 1.532), (4.116666666666666, 1.45)]"
5,"[(5.3, 2.005), (2.95, 1.35), (5.516666666666667, 1.675), (7.716666666666667, 5.69), (5.683333333333334, 1.898), (6.25, 1.846), (10.15, 6.295), (4.4, 1.393), (7.983333333333333, 6.726), (9.216666666666667, 6.454)]","[(5.3, 2.005), (2.95, 1.35), (5.516666666666667, 1.675), (7.716666666666667, 5.69), (5.683333333333334, 1.898), (6.25, 1.846), (10.15, 6.295), (4.4, 1.393), (7.983333333333333, 6.726), (9.216666666666667, 6.454)]"
6,"[(5.2, 1.561), (3.8666666666666667, 1.719), (9.583333333333334, 2.899), (7.65, 4.125), (8.766666666666667, 2.771), (14.583333333333334, 3.969), (13.166666666666666, 5.177), (12.1, 4.298), (8.566666666666666, 4.258), (9.783333333333333, 4.725)]","[(5.2, 1.561), (4.4, 1.719), (9.583333333333334, 2.899), (8.45, 4.125), (9.833333333333334, 2.771), (15.316666666666666, 3.969), (13.966666666666667, 5.177), (12.1, 4.298), (8.566666666666666, 4.258), (9.783333333333333, 4.725)]"
7,"[(7.65, 2.737), (9.55, 4.597), (4.766666666666667, 1.583), (12.783333333333333, 4.484), (5.416666666666667, 2.191), (6.083333333333333, 1.976), (5.883333333333334, 2.441), (8.066666666666666, 2.966), (6.383333333333334, 2.653), (12.416666666666666, 3.593)]","[(7.916666666666667, 2.737), (9.55, 4.597), (4.766666666666667, 1.583), (12.783333333333333, 4.484), (5.416666666666667, 2.191), (6.083333333333333, 1.976), (5.883333333333334, 2.441), (8.066666666666666, 2.966), (6.383333333333334, 2.653), (12.666666666666666, 3.593)]"
8,"[(4.183333333333334, 1.909), (4.633333333333334, 1.792), (3.1666666666666665, 2.131), (4.3, 1.775), (7.816666666666666, 3.038), (2.75, 1.906), (7.483333333333333, 3.021), (7.8, 3.926), (4.45, 1.855), (7.316666666666666, 2.194)]","[(4.183333333333334, 1.909), (4.633333333333334, 1.792), (3.1666666666666665, 2.131), (4.3, 1.775), (7.816666666666666, 3.038), (2.75, 1.906), (7.483333333333333, 3.021), (7.8, 3.926), (4.45, 1.855), (7.3, 2.194)]"
9,"[(6.416666666666667, 3.067), (10.15, 5.598), (3.283333333333333, 1.841), (6.45, 3.074), (6.466666666666667, 3.387), (3.683333333333333, 2.164), (7.15, 2.842), (10.633333333333333, 5.143), (6.716666666666667, 2.539), (4.716666666666667, 1.429)]","[(6.416666666666667, 3.067), (10.15, 5.598), (3.283333333333333, 1.841), (6.45, 3.074), (6.466666666666667, 3.387), (3.683333333333333, 2.164), (7.15, 2.842), (10.633333333333333, 5.143), (6.716666666666667, 2.539), (4.716666666666667, 1.429)]"
10,"[(7.516666666666667, 3.626), (3.55, 1.548), (10.1, 5.456), (6.85, 2.833), (10.716666666666667, 4.574), (8.816666666666666, 4.122), (12.1, 5.082), (7.166666666666667, 4.409), (9.783333333333333, 4.099), (15.166666666666666, 6.909)]","[(7.516666666666667, 3.626), (3.55, 1.548), (10.1, 5.456), (6.85, 2.833), (10.716666666666667, 4.574), (8.816666666666666, 4.122), (12.1, 5.082), (7.166666666666667, 4.409), (9.783333333333333, 4.099), (15.166666666666666, 6.909)]"
11,"[(3.816666666666667, 1.285), (5.133333333333334, 1.784), (6.55, 2.285), (4.65, 1.355), (5.616666666666666, 1.441), (7.033333333333333, 1.942), (2.05, 0.665), (3.4833333333333334, 1.163), (4.983333333333333, 1.649), (7.066666666666666, 2.428)]","[(3.816666666666667, 1.285), (5.133333333333334, 1.784), (6.55, 2.285), (4.65, 1.355), (5.616666666666666, 1.441), (7.033333333333333, 1.942), (2.05, 0.665), (3.4833333333333334, 1.163), (4.983333333333333, 1.649), (7.066666666666666, 2.428)]"
12,"[(5.116666666666666, 2.339), (2.1666666666666665, 1.067), (8.633333333333333, 2.931), (2.966666666666667, 1.287), (3.6166666666666667, 1.493), (4.316666666666666, 1.217), (3.033333333333333, 1.255), (6.45, 2.373), (3.1, 1.034), (6.866666666666666, 2.183)]","[(5.116666666666666, 2.339), (2.1666666666666665, 1.067), (8.633333333333333, 2.931), (2.966666666666667, 1.287), (3.6166666666666667, 1.493), (4.316666666666666, 1.217), (3.033333333333333, 1.255), (6.45, 2.373), (3.1, 1.034), (6.866666666666666, 2.183)]"
13,"[(4.766666666666667, 2.176), (7.016666666666667, 3.309), (7.983333333333333, 3.524), (11.933333333333334, 5.525), (8.783333333333333, 4.105), (4.216666666666667, 1.559), (9.833333333333334, 4.352), (8.783333333333333, 3.788), (9.05, 3.554), (8.416666666666666, 3.519)]","[(4.766666666666667, 2.176), (7.65, 3.309), (7.983333333333333, 3.524), (12.866666666666667, 5.525), (8.783333333333333, 4.105), (4.216666666666667, 1.559), (9.816666666666666, 4.352), (8.8, 3.788), (9.05, 3.554), (8.4, 3.519)]"
14,"[(5.883333333333334, 1.636), (6.883333333333334, 1.808), (6.766666666666667, 2.051), (10.466666666666667, 2.903), (10.283333333333333, 1.992), (4.283333333333333, 1.038), (13.866666666666667, 3.087), (11.066666666666666, 2.895), (3.5, 1.395), (13.833333333333334, 4.22)]","[(5.883333333333334, 1.636), (6.883333333333334, 1.808), (6.766666666666667, 2.051), (10.466666666666667, 2.903), (10.283333333333333, 1.992), (4.283333333333333, 1.038), (13.866666666666667, 3.087), (11.066666666666666, 2.895), (3.5, 1.395), (13.833333333333334, 4.22)]"
