,0,1,2,3,4
0,"[(0.0, 0.0), (10.75, 9.954), (13.0, 9.098), (11.583333333333334, 8.818), (15.05, 11.574)]","[(10.833333333333334, 9.954), (0.0, 0.0), (12.1, 6.874), (7.35, 4.912), (15.016666666666667, 11.257)]","[(12.016666666666667, 9.745), (9.916666666666666, 6.527), (0.0, 0.0), (3.816666666666667, 2.474), (8.166666666666666, 5.569)]","[(10.15, 8.668), (7.616666666666666, 4.912), (6.833333333333333, 2.854), (0.0, 0.0), (9.85, 6.53)]","[(14.9, 11.375), (15.633333333333333, 11.696), (6.316666666666666, 4.002), (9.716666666666667, 6.321), (0.0, 0.0)]"
1,"[(0.0, 0.0), (12.583333333333334, 10.252), (3.6333333333333333, 1.517), (6.083333333333333, 2.346), (8.45, 3.056)]","[(7.816666666666666, 6.038), (0.0, 0.0), (10.033333333333333, 6.853), (12.483333333333333, 7.682), (11.75, 4.942)]","[(3.95, 1.58), (14.666666666666666, 11.005), (2.3833333333333333, 0.872), (5.183333333333334, 1.765), (9.916666666666666, 3.425)]","[(5.516666666666667, 2.395), (16.2, 11.82), (4.316666666666666, 1.751), (0.0, 0.0), (9.15, 3.39)]","[(8.366666666666667, 3.121), (16.833333333333332, 8.267), (9.666666666666666, 3.425), (12.466666666666667, 5.457), (6.583333333333333, 2.085)]"
2,"[(0.0, 0.0), (14.633333333333333, 8.636), (11.45, 5.231), (4.8, 1.619), (8.516666666666667, 3.575)]","[(13.4, 7.803), (0.16666666666666666, 0.141), (5.283333333333333, 3.123), (8.616666666666667, 6.274), (5.1, 4.29)]","[(11.816666666666666, 5.292), (5.716666666666667, 2.945), (0.0, 0.0), (8.75, 4.517), (7.333333333333333, 3.71)]","[(4.6, 1.54), (9.65, 7.007), (8.433333333333334, 4.284), (0.0, 0.0), (3.1166666666666667, 2.204)]","[(7.816666666666666, 3.696), (6.766666666666667, 5.202), (6.1, 3.311), (3.1333333333333333, 2.167), (0.3333333333333333, 0.222)]"
3,"[(0.5166666666666667, 0.191), (5.8, 2.01), (12.533333333333333, 4.063), (21.933333333333334, 7.848), (8.0, 3.081)]","[(7.2, 2.031), (0.18333333333333332, 0.079), (7.683333333333334, 2.142), (16.133333333333333, 5.205), (3.533333333333333, 1.826)]","[(12.8, 3.951), (8.083333333333334, 2.242), (0.25, 0.072), (10.05, 3.209), (5.833333333333333, 2.28)]","[(23.15, 9.607), (17.883333333333333, 6.716), (12.283333333333333, 4.516), (0.13333333333333333, 0.081), (15.033333333333333, 6.635)]","[(9.183333333333334, 3.068), (3.3833333333333333, 1.738), (6.933333333333334, 2.39), (15.733333333333333, 6.311), (0.0, 0.0)]"
4,"[(0.0, 0.0), (3.8666666666666667, 1.506), (6.166666666666667, 2.033), (2.2666666666666666, 0.902), (5.3, 1.709)]","[(4.0, 1.555), (0.0, 0.0), (6.45, 1.977), (4.316666666666666, 1.61), (8.033333333333333, 2.579)]","[(6.466666666666667, 2.16), (6.566666666666666, 1.846), (0.11666666666666667, 0.037), (4.216666666666667, 1.304), (4.2, 1.533)]","[(2.5833333333333335, 1.039), (4.55, 1.373), (3.65, 1.13), (0.38333333333333336, 0.168), (3.4, 1.451)]","[(3.683333333333333, 1.64), (6.866666666666666, 2.651), (4.566666666666666, 1.507), (3.6166666666666667, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (5.266666666666667, 2.005), (2.4166666666666665, 1.115), (5.366666666666666, 1.675), (8.816666666666666, 5.69)]","[(4.316666666666666, 1.426), (0.0, 0.0), (5.016666666666667, 1.83), (5.3, 1.868), (9.566666666666666, 5.096)]","[(3.466666666666667, 1.142), (7.45, 2.209), (0.0, 0.0), (3.8333333333333335, 1.393), (10.116666666666667, 6.726)]","[(6.266666666666667, 1.715), (4.616666666666666, 1.131), (5.35, 1.405), (0.0, 0.0), (10.75, 6.454)]","[(4.783333333333333, 2.429), (5.85, 2.399), (4.616666666666666, 2.061), (3.6166666666666667, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (4.683333333333334, 1.561), (4.333333333333333, 1.719), (8.45, 2.899), (8.783333333333333, 4.311)]","[(8.183333333333334, 2.157), (0.6166666666666667, 0.255), (8.633333333333333, 2.771), (12.633333333333333, 3.969), (12.666666666666666, 5.381)]","[(5.666666666666667, 1.721), (10.366666666666667, 3.283), (0.3, 0.092), (9.316666666666666, 3.148), (8.7, 4.252)]","[(8.65, 2.892), (13.433333333333334, 4.454), (9.7, 3.034), (0.18333333333333332, 0.059), (9.35, 4.725)]","[(9.05, 3.802), (13.683333333333334, 5.364), (7.483333333333333, 3.361), (15.816666666666666, 4.826), (0.0, 0.0)]"
7,"[(0.0, 0.0), (6.983333333333333, 2.737), (8.583333333333334, 4.597), (3.7666666666666666, 1.583), (13.116666666666667, 4.639)]","[(6.933333333333334, 2.777), (0.0, 0.0), (5.4, 2.191), (6.1, 1.976), (6.666666666666667, 2.388)]","[(7.533333333333333, 3.745), (9.933333333333334, 2.755), (0.0, 0.0), (8.816666666666666, 2.966), (6.3, 2.653)]","[(6.433333333333334, 2.002), (6.233333333333333, 1.855), (10.083333333333334, 3.229), (0.0, 0.0), (12.166666666666666, 3.593)]","[(11.833333333333334, 5.182), (7.233333333333333, 2.709), (8.966666666666667, 2.919), (12.65, 4.525), (0.1, 0.032)]"
8,"[(0.0, 0.0), (4.8, 1.863), (4.583333333333333, 1.792), (3.3333333333333335, 2.131), (4.3, 1.775)]","[(3.0166666666666666, 1.245), (0.2833333333333333, 0.198), (7.65, 3.038), (2.75, 1.906), (7.316666666666666, 3.021)]","[(4.7, 1.823), (9.333333333333334, 3.658), (0.45, 0.147), (7.883333333333334, 3.926), (4.9, 1.855)]","[(2.65, 1.604), (5.1, 1.83), (7.233333333333333, 3.397), (0.0, 0.0), (6.966666666666667, 2.194)]","[(4.2, 1.804), (8.833333333333334, 3.639), (4.4, 1.763), (7.316666666666666, 3.907), (0.0, 0.0)]"
9,"[(1.1666666666666667, 0.312), (6.616666666666666, 3.067), (9.533333333333333, 5.449), (3.45, 1.841), (6.283333333333333, 3.074)]","[(4.683333333333334, 2.844), (0.0, 0.0), (6.25, 3.387), (3.466666666666667, 2.164), (7.033333333333333, 2.842)]","[(10.783333333333333, 4.976), (8.833333333333334, 4.272), (0.0, 0.0), (10.316666666666666, 5.143), (7.883333333333334, 2.346)]","[(3.15, 1.38), (5.85, 2.687), (6.483333333333333, 3.743), (0.25, 0.136), (5.816666666666666, 1.431)]","[(5.566666666666666, 2.98), (9.683333333333334, 4.028), (5.8, 2.708), (5.416666666666667, 3.002), (0.0, 0.0)]"
