COMMUNE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Echchallalate,1.3959037411434871,1.40338256058248,1.4019503216883549,1.395148597704405,1.3946524961165099,1.3958096605691594,1.3933808232453677,1.3906716474534133,1.3932338836023583,1.3814240442586103,1.3910221359151687,1.3949168344108525,1.4015057618887425,1.3899857385355308,1.3930600513163973,1.3938959721871191,1.4021999346484162,1.4058062558618964,1.427405776101915,1.4184218881924129,1.3980361277718123,1.3832619133558017,1.385800058559456,1.3963863174264266
Sidi Maarouf,1.9870851912791132,2.008503400260131,2.0263122123414172,2.047276307987126,2.0563057333517323,2.0540599012728027,2.0240257989363757,1.953918193196267,2.2128964045030544,2.155637036449174,2.0865262169645797,2.0382107781097525,2.0264984529902366,2.0248474239943173,1.9992106332680564,2.027339706957263,2.072268562760562,2.1400161497876278,2.377759635830276,2.240682542361184,2.04400357537007,1.9643417394675697,1.9339882202715315,1.9291417637452342
Anfa,1.6895075335081078,1.620288187615189,1.6361337942445129,1.6866928193026496,1.6938824953114942,1.6868854249246517,1.6821199884015854,1.6619817276919033,1.7639233999766417,1.770041325738827,1.7582715534969378,1.7638032568818152,1.8400809348009157,1.8478570657951312,1.8356096238500315,1.827051281033612,1.9292055489763875,2.006263298364688,2.103262320117716,2.1308170842146312,2.0360064620464695,1.8437107111038014,1.7589990084642841,1.6914097906697378
Assoukhour Assawda,2.5682427796862837,2.577867176447669,2.613004311541782,2.757105030850808,2.731599769421014,2.736113005525577,2.780805991386906,2.7060470557929612,2.789167275418061,2.725055061377403,2.7904366079381715,2.8455042837354965,2.870628375153809,2.838492597283298,2.7026823492170347,2.714254123962493,2.959748018226281,2.9178226365563855,3.0265824734323616,2.9016588798235157,2.705886965554705,2.6045536284879973,2.5860608859517145,2.6431818016716466
Ben Msick,2.5867336219605326,2.596385093811127,2.6261907305764547,2.74539278075775,2.7728098970182655,2.775308163760667,2.7444890445006553,2.729137686932494,2.6915942156550203,2.728438768862583,2.788894370071699,2.735899707296352,2.765512414027275,2.833294267443429,2.7800888815803315,2.7400694905904244,2.8446119468418654,2.8461723963734054,2.872301499045844,2.910672915080245,2.785690305061472,2.5513691383745303,2.621431681954609,2.6047710140096734
Bou Chentouf,2.0492811218067764,2.0756947923792053,2.1594679746793455,2.293148824344026,2.3716508426941627,2.2754680393686506,2.244665651851295,2.2209253201147496,2.5651856110871774,2.3473996976119267,2.3924374140169062,2.3808588729654048,2.3986013662356314,2.455714495832523,2.3026694692548006,2.408149471907799,2.473066135932098,2.546323536082346,2.6398209790090794,2.8512727572552268,2.430597822009999,2.078515215850055,2.029054585854578,2.0585828397099437
El Maarif,2.241515868869101,2.443489400231402,2.509852023844215,2.652219132217149,2.7266925820532237,2.724765466001907,2.6932359800233905,2.5761436807518097,2.7366096168272103,2.6785909318474346,2.6423281778391265,2.7517257761427842,2.7425602566768985,2.701901976886567,2.628303568299945,2.617065805553635,2.920270539886487,3.1736198674080773,3.1967954540811485,3.004685859232339,2.6434020431023497,2.412763941533588,2.3753954365958956,2.3329210722198854
Hay Hassani,2.4727937853569757,2.483983290237126,2.619345868743555,2.736221390957323,2.79584893275348,2.7856279194350093,2.7684559879144937,2.6636899389705966,2.796622471893639,2.8726892891339224,2.7218346314620865,2.8323008059443384,2.916732693613459,2.8421781612452715,2.672282798037388,2.7498552841468067,2.8377803965867714,2.9610371317947743,3.03057958723537,3.027726730633039,2.784806871543511,2.5026788840796144,2.4678385980207116,2.4765651454152326
Hay Mohammadi,2.037971323227148,2.0577396814455717,2.137350283352076,2.2363645560174708,2.2217360442801932,2.1963072454101877,2.158206990671432,2.0579440756651266,2.3246980409093,2.198417741107254,2.240987909738656,2.282332567461481,2.350015152662288,2.269899454384199,2.22062544698553,2.3150469075231372,2.3293114032495184,2.3991811095086892,2.677520500852123,2.7923186342050976,2.243102979031489,2.0217552270644896,1.991787418873154,1.987389104346601
Ain Chock,1.9881851002508237,2.0165064848427448,2.024368709900774,2.069238326126743,2.088622830689173,2.094025124774035,2.0843922825508345,2.0726503385225237,2.1693198328549856,2.069444157709974,2.0327888393975897,2.0277140310041224,2.0643482854284656,2.0504738222340464,2.02885021367669,2.042371614918801,2.1582340333941348,2.129511028379014,2.2063373816538334,2.1660361997469613,2.0840579744644923,2.0412260257290185,2.0305433667914037,2.0333713670802487
