,rand_point,COMMUNE,POP_TOT,MENAGES,AREA,DENSITE,DENS_URB,DENS_RUR,Shape_Area,Shape_Leng,NUMTram_St,NUMBus_Sta,Leng_Prima,Count_Prim,Leng_Secon,Count_Seco,Num_Speed_,Leng_Motor,Count_Moto,Zone_Area,Indu_Area,Commercial,residencia,Park_Area,University,Parking_Ar,geometry,address
0,0.0,Echchallalate,153118.0,27433.0,425830.0,10614.16015625,10614.16015625,0.0,0.016124047338963,0.758665561676025,0.0,0.0,171.09891510374027,6.0,16.502690196577333,2.0,0.0,22295.031908122968,22.0,68446680.65,1123685.54,0.0,747077.8899999999,1313.5700000000002,0.0,39483.12,POINT (-7.395306348809435 33.56968640878232),"RP3301, Sidi Moussa Ben Ali ⵙⵉⴷⵉ ⵎⵓⵙⴰ ⴱⵏ ⵄⵍⵉ سيدي موسى بن علي, caïdat de Sidi Moussa Ben Ali, cercle de Zenata, Préfecture de Mohammédia عمالة المحمدية, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 28814, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب"
1,1.0,Echchallalate,153118.0,27433.0,425830.0,10614.16015625,10614.16015625,0.0,0.016124047338963,0.758665561676025,0.0,0.0,171.09891510374027,6.0,16.502690196577333,2.0,0.0,22295.031908122968,22.0,68446680.65,1123685.54,0.0,747077.8899999999,1313.5700000000002,0.0,39483.12,POINT (-7.408108582535458 33.64792053315948),"RP3019, Chellalate ⵛⵍⵍⴰⵍⴰⵜ الشلالات, caïdat de Zenata, Pachalik de Chellalate, Préfecture de Mohammédia عمالة المحمدية, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 28803, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب"
2,2.0,Echchallalate,153118.0,27433.0,425830.0,10614.16015625,10614.16015625,0.0,0.016124047338963,0.758665561676025,0.0,0.0,171.09891510374027,6.0,16.502690196577333,2.0,0.0,22295.031908122968,22.0,68446680.65,1123685.54,0.0,747077.8899999999,1313.5700000000002,0.0,39483.12,POINT (-7.458959071198275 33.61536594040621),"Chellalate ⵛⵍⵍⴰⵍⴰⵜ الشلالات, caïdat de Zenata, Pachalik de Chellalate, Préfecture de Mohammédia عمالة المحمدية, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 28630, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب"
3,3.0,Echchallalate,153118.0,27433.0,425830.0,10614.16015625,10614.16015625,0.0,0.016124047338963,0.758665561676025,0.0,0.0,171.09891510374027,6.0,16.502690196577333,2.0,0.0,22295.031908122968,22.0,68446680.65,1123685.54,0.0,747077.8899999999,1313.5700000000002,0.0,39483.12,POINT (-7.44403942378749 33.62789799357488),"Ain Harrouda عين حرودة, Pachalik de Ain Harrouda, Préfecture de Mohammédia عمالة المحمدية, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 28630, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب"
4,4.0,Echchallalate,153118.0,27433.0,425830.0,10614.16015625,10614.16015625,0.0,0.016124047338963,0.758665561676025,0.0,0.0,171.09891510374027,6.0,16.502690196577333,2.0,0.0,22295.031908122968,22.0,68446680.65,1123685.54,0.0,747077.8899999999,1313.5700000000002,0.0,39483.12,POINT (-7.484442852640369 33.60105039866384),"Hay Al Azhar, arrondissement de Sidi Moumen مقاطعة سيدي مومن, préfecture d'arrondissements de Sidi Bernoussi عمالة مقاطعات سيدي البرنوصي, Préfecture de Casablanca عمالة الدار البيضاء, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 20603, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب"
5,5.0,Sidi Maarouf,30627.0,5711.5712890625,672327.125,2149.239990234375,2149.239990234375,0.0,0.002108098706231,0.204162463545799,0.0,6.0,2374.5148936870132,12.0,1731.5025288954196,11.0,0.0,16525.364944420897,19.0,24274975.85,233905.16999999998,5557.95,5336566.25,60665.91,53626.46,15468.0,POINT (-7.633357283646167 33.48569462458445),"RP3026, Bouskoura بوسكورة, Pachalik de Bouskoura باشوية بوسكورة, Province Nouaceur إقليم النواصر, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 20192, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب"
6,6.0,Sidi Maarouf,30627.0,5711.5712890625,672327.125,2149.239990234375,2149.239990234375,0.0,0.002108098706231,0.204162463545799,0.0,6.0,2374.5148936870132,12.0,1731.5025288954196,11.0,0.0,16525.364944420897,19.0,24274975.85,233905.16999999998,5557.95,5336566.25,60665.91,53626.46,15468.0,POINT (-7.636924760146013 33.52566603266665),"ISCAE, Route de Marrakech, Casablanca ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء, Pachalik de Casablanca, Préfecture de Casablanca عمالة الدار البيضاء, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 20001, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب"
7,7.0,Sidi Maarouf,30627.0,5711.5712890625,672327.125,2149.239990234375,2149.239990234375,0.0,0.002108098706231,0.204162463545799,0.0,6.0,2374.5148936870132,12.0,1731.5025288954196,11.0,0.0,16525.364944420897,19.0,24274975.85,233905.16999999998,5557.95,5336566.25,60665.91,53626.46,15468.0,POINT (-7.641582183521106 33.48716086847907),"Bouskoura بوسكورة, Pachalik de Bouskoura باشوية بوسكورة, Province Nouaceur إقليم النواصر, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 20192, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب"
8,8.0,Sidi Maarouf,30627.0,5711.5712890625,672327.125,2149.239990234375,2149.239990234375,0.0,0.002108098706231,0.204162463545799,0.0,6.0,2374.5148936870132,12.0,1731.5025288954196,11.0,0.0,16525.364944420897,19.0,24274975.85,233905.16999999998,5557.95,5336566.25,60665.91,53626.46,15468.0,POINT (-7.652317932191367 33.48147210659073),"Bouskoura بوسكورة, Pachalik de Bouskoura باشوية بوسكورة, Province Nouaceur إقليم النواصر, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 20192, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب"
9,9.0,Sidi Maarouf,30627.0,5711.5712890625,672327.125,2149.239990234375,2149.239990234375,0.0,0.002108098706231,0.204162463545799,0.0,6.0,2374.5148936870132,12.0,1731.5025288954196,11.0,0.0,16525.364944420897,19.0,24274975.85,233905.16999999998,5557.95,5336566.25,60665.91,53626.46,15468.0,POINT (-7.650754644736764 33.49835474797786),"Autoroute Rabat - Safi طرق السيارات الرباط - آسفي, Bouskoura بوسكورة, Pachalik de Bouskoura باشوية بوسكورة, Province Nouaceur إقليم النواصر, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, 20192, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب"
