,0,1,2,3,4
0,"[(0.0, 0.0), (10.466666666666667, 9.954), (12.25, 9.098), (10.55, 8.818), (14.966666666666667, 11.574)]","[(10.833333333333334, 9.954), (0.0, 0.0), (12.1, 6.874), (7.316666666666666, 4.912), (15.366666666666667, 11.257)]","[(11.966666666666667, 9.745), (10.3, 6.527), (0.0, 0.0), (3.7333333333333334, 2.474), (8.433333333333334, 5.569)]","[(9.966666666666667, 8.656), (7.033333333333333, 4.932), (6.85, 2.896), (0.18333333333333332, 0.123), (9.883333333333333, 6.53)]","[(14.583333333333334, 11.328), (15.25, 11.649), (6.083333333333333, 3.955), (9.683333333333334, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (13.933333333333334, 10.252), (3.3833333333333333, 1.517), (5.35, 2.346), (7.633333333333334, 3.056)]","[(8.116666666666667, 6.039), (0.0, 0.0), (10.0, 6.854), (11.966666666666667, 7.683), (12.1, 4.943)]","[(3.6666666666666665, 1.58), (15.766666666666667, 11.005), (2.0166666666666666, 0.872), (4.45, 1.765), (9.133333333333333, 3.425)]","[(5.316666666666666, 2.395), (17.5, 11.82), (4.116666666666666, 1.751), (0.0, 0.0), (9.05, 3.39)]","[(8.9, 3.121), (16.7, 7.25), (9.516666666666667, 3.425), (13.5, 5.315), (6.95, 2.085)]"
2,"[(0.0, 0.0), (16.833333333333332, 8.439), (12.733333333333333, 5.231), (5.316666666666666, 1.619), (8.533333333333333, 3.636)]","[(14.366666666666667, 7.919), (0.26666666666666666, 0.141), (6.133333333333334, 3.123), (9.566666666666666, 6.39), (5.55, 4.29)]","[(11.883333333333333, 5.292), (5.033333333333333, 2.929), (0.0, 0.0), (8.4, 4.517), (6.666666666666667, 3.71)]","[(4.9, 1.54), (11.333333333333334, 7.007), (8.833333333333334, 4.28), (0.0, 0.0), (3.066666666666667, 2.204)]","[(9.233333333333333, 3.525), (7.716666666666667, 5.202), (6.266666666666667, 3.311), (3.3666666666666667, 2.167), (0.35, 0.222)]"
3,"[(0.5166666666666667, 0.191), (5.816666666666666, 2.01), (12.6, 4.063), (24.433333333333334, 7.191), (9.0, 3.081)]","[(8.35, 2.031), (0.18333333333333332, 0.079), (9.383333333333333, 2.142), (17.116666666666667, 4.96), (5.05, 2.061)]","[(14.1, 3.951), (7.883333333333334, 2.178), (0.26666666666666666, 0.072), (11.183333333333334, 3.209), (5.866666666666666, 2.28)]","[(25.883333333333333, 7.762), (19.933333333333334, 6.432), (12.333333333333334, 3.39), (0.08333333333333333, 0.081), (17.983333333333334, 6.694)]","[(10.35, 3.068), (3.966666666666667, 1.738), (6.883333333333334, 2.39), (15.233333333333333, 5.839), (0.0, 0.0)]"
4,"[(0.06666666666666667, 0.04), (5.133333333333334, 1.519), (6.066666666666666, 2.033), (2.15, 0.902), (4.383333333333334, 1.64)]","[(3.9166666666666665, 1.619), (0.0, 0.0), (6.466666666666667, 1.947), (3.783333333333333, 1.58), (6.283333333333333, 2.6)]","[(5.933333333333334, 2.164), (6.383333333333334, 1.846), (0.06666666666666667, 0.037), (4.416666666666667, 1.304), (4.166666666666667, 1.541)]","[(2.4, 1.039), (4.266666666666667, 1.281), (3.783333333333333, 1.13), (0.4166666666666667, 0.168), (3.433333333333333, 1.461)]","[(4.0, 1.644), (8.616666666666667, 2.501), (4.466666666666667, 1.517), (4.066666666666666, 1.355), (0.0, 0.0)]"
5,"[(0.0, 0.0), (4.866666666666666, 2.005), (3.066666666666667, 1.55), (5.866666666666666, 1.675), (8.633333333333333, 5.69)]","[(3.5, 1.434), (0.0, 0.0), (5.3, 1.898), (5.55, 1.846), (11.266666666666667, 6.295)]","[(2.816666666666667, 1.142), (6.933333333333334, 2.209), (0.0, 0.0), (4.416666666666667, 1.401), (9.433333333333334, 6.726)]","[(4.6, 1.73), (3.933333333333333, 1.146), (3.816666666666667, 1.42), (0.16666666666666666, 0.089), (9.166666666666666, 6.469)]","[(5.55, 2.371), (6.466666666666667, 2.399), (4.75, 2.061), (3.9166666666666665, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (5.083333333333333, 1.561), (4.783333333333333, 2.003), (8.85, 2.899), (8.683333333333334, 4.311)]","[(8.416666666666666, 2.228), (0.7666666666666667, 0.255), (8.416666666666666, 2.925), (12.983333333333333, 3.969), (12.75, 5.535)]","[(6.733333333333333, 1.721), (11.916666666666666, 3.283), (0.3, 0.092), (9.9, 3.148), (8.683333333333334, 4.258)]","[(10.866666666666667, 2.912), (16.083333333333332, 4.474), (10.366666666666667, 3.034), (0.16666666666666666, 0.059), (10.4, 4.725)]","[(9.15, 3.802), (14.416666666666666, 5.364), (7.3, 3.361), (13.7, 5.472), (0.0, 0.0)]"
7,"[(0.0, 0.0), (7.083333333333333, 2.737), (9.583333333333334, 4.597), (4.25, 1.583), (14.133333333333333, 4.634)]","[(6.716666666666667, 2.777), (0.0, 0.0), (4.583333333333333, 2.191), (6.083333333333333, 1.976), (6.583333333333333, 2.388)]","[(7.433333333333334, 3.745), (8.333333333333334, 2.755), (0.0, 0.0), (8.083333333333334, 2.966), (6.833333333333333, 2.653)]","[(5.883333333333334, 2.214), (5.9, 1.855), (9.35, 3.229), (0.0, 0.0), (12.633333333333333, 3.588)]","[(12.583333333333334, 4.868), (8.8, 2.701), (9.116666666666667, 3.151), (13.416666666666666, 4.089), (0.13333333333333333, 0.032)]"
8,"[(0.0, 0.0), (5.816666666666666, 1.904), (4.433333333333334, 1.792), (3.716666666666667, 1.84), (4.0, 1.775)]","[(2.933333333333333, 1.245), (0.2, 0.198), (7.3, 3.038), (2.8, 1.906), (6.9, 3.021)]","[(4.416666666666667, 1.823), (9.866666666666667, 3.699), (0.45, 0.147), (6.883333333333334, 3.214), (4.4, 1.855)]","[(2.8, 1.604), (5.716666666666667, 1.83), (7.15, 3.397), (0.0, 0.0), (6.75, 3.38)]","[(4.566666666666666, 1.804), (9.066666666666666, 3.259), (4.666666666666667, 1.763), (6.166666666666667, 2.691), (0.0, 0.0)]"
9,"[(1.2, 0.312), (6.616666666666666, 3.067), (10.483333333333333, 5.598), (3.45, 1.841), (6.283333333333333, 3.074)]","[(5.066666666666666, 2.844), (0.0, 0.0), (6.583333333333333, 3.387), (3.6666666666666665, 2.164), (7.1, 2.842)]","[(11.333333333333334, 4.976), (9.1, 4.276), (0.0, 0.0), (10.283333333333333, 5.143), (6.15, 2.469)]","[(3.35, 1.38), (5.85, 2.687), (6.033333333333333, 3.678), (0.35, 0.136), (5.6, 1.431)]","[(5.75, 2.673), (10.5, 4.032), (6.466666666666667, 2.763), (5.466666666666667, 2.695), (0.0, 0.0)]"
10,"[(0.0, 0.0), (8.916666666666666, 3.626), (4.2, 1.538), (10.633333333333333, 5.456), (6.216666666666667, 2.833)]","[(9.883333333333333, 4.275), (0.31666666666666665, 0.214), (10.766666666666667, 4.618), (9.166666666666666, 4.122), (11.466666666666667, 5.082)]","[(5.55, 2.191), (11.05, 4.154), (0.0, 0.0), (8.05, 4.409), (9.716666666666667, 4.099)]","[(12.933333333333334, 5.842), (9.783333333333333, 4.111), (8.2, 4.533), (0.9166666666666666, 0.454), (16.05, 7.731)]","[(8.716666666666667, 3.432), (11.55, 6.127), (11.1, 4.192), (16.0, 7.672), (0.0, 0.0)]"
11,"[(0.016666666666666666, 0.021), (2.75, 1.118), (3.9833333333333334, 1.779), (5.6, 2.28), (3.933333333333333, 1.323)]","[(2.1166666666666667, 0.911), (0.13333333333333333, 0.069), (3.316666666666667, 1.441), (4.933333333333334, 1.942), (1.9333333333333333, 0.665)]","[(4.083333333333333, 1.799), (2.7, 1.276), (0.0, 0.0), (2.8833333333333333, 1.163), (3.3, 1.649)]","[(5.366666666666666, 2.578), (3.966666666666667, 2.055), (1.2833333333333334, 0.778), (0.0, 0.0), (4.616666666666666, 2.428)]","[(3.7, 1.348), (1.15, 0.617), (4.283333333333333, 1.855), (5.833333333333333, 2.356), (0.0, 0.0)]"
12,"[(0.0, 0.0), (5.233333333333333, 2.339), (2.25, 1.067), (7.15, 2.931), (2.9, 1.287)]","[(3.7, 2.352), (0.0, 0.0), (3.55, 1.493), (2.9833333333333334, 1.217), (3.5, 1.255)]","[(2.5833333333333335, 1.135), (5.85, 2.086), (0.21666666666666667, 0.073), (6.416666666666667, 2.372), (3.533333333333333, 1.034)]","[(6.25, 3.121), (4.266666666666667, 1.491), (6.283333333333333, 2.421), (0.0, 0.0), (6.15, 2.183)]","[(3.1166666666666667, 1.322), (4.633333333333334, 1.973), (2.75, 1.018), (7.033333333333333, 2.565), (0.5666666666666667, 0.121)]"
