,0,1,2,3,4
0,"[(0.0, 0.0), (10.1, 9.954), (12.7, 9.098), (10.9, 8.818), (14.883333333333333, 11.574)]","[(10.716666666666667, 9.954), (0.0, 0.0), (12.333333333333334, 6.874), (7.383333333333334, 4.912), (15.283333333333333, 11.895)]","[(12.166666666666666, 9.745), (9.95, 6.527), (0.0, 0.0), (4.1, 2.474), (8.116666666666667, 5.569)]","[(10.383333333333333, 8.656), (7.283333333333333, 4.912), (7.4, 2.896), (0.0, 0.0), (9.95, 6.53)]","[(14.866666666666667, 11.328), (15.083333333333334, 11.649), (6.2, 3.955), (9.65, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (22.433333333333334, 9.542), (3.3333333333333335, 1.517), (5.033333333333333, 2.346), (7.266666666666667, 3.056)]","[(8.033333333333333, 5.239), (0.0, 0.0), (10.816666666666666, 6.604), (12.516666666666667, 7.433), (11.583333333333334, 4.943)]","[(4.1, 1.58), (23.833333333333332, 9.773), (2.6166666666666667, 0.872), (3.9166666666666665, 1.751), (8.916666666666666, 3.44)]","[(4.733333333333333, 2.395), (21.133333333333333, 8.434), (3.5833333333333335, 1.751), (0.0, 0.0), (9.016666666666667, 3.39)]","[(8.666666666666666, 3.121), (17.75, 6.784), (9.866666666666667, 3.44), (12.25, 5.456), (6.95, 2.085)]"
2,"[(0.0, 0.0), (12.7, 7.38), (10.216666666666667, 5.231), (4.516666666666667, 1.619), (7.583333333333333, 4.114)]","[(12.75, 8.428), (0.2, 0.141), (6.75, 3.123), (8.283333333333333, 6.549), (5.616666666666666, 4.424)]","[(12.35, 5.766), (5.216666666666667, 2.929), (0.0, 0.0), (9.3, 4.517), (7.283333333333333, 3.71)]","[(4.016666666666667, 1.89), (9.55, 7.007), (7.283333333333333, 4.28), (0.0, 0.0), (2.9, 2.204)]","[(7.266666666666667, 4.046), (6.35, 5.202), (5.783333333333333, 3.311), (3.0833333333333335, 2.167), (0.35, 0.222)]"
3,"[(0.5, 0.191), (6.133333333333334, 2.01), (13.05, 4.063), (23.183333333333334, 7.175), (9.05, 3.081)]","[(6.016666666666667, 2.031), (0.21666666666666667, 0.079), (8.4, 2.431), (17.6, 5.288), (4.716666666666667, 1.826)]","[(10.766666666666667, 3.951), (6.833333333333333, 3.008), (0.21666666666666667, 0.072), (8.966666666666667, 3.824), (5.25, 2.28)]","[(22.116666666666667, 9.666), (18.266666666666666, 8.723), (11.45, 3.76), (0.0, 0.0), (16.166666666666668, 6.693)]","[(8.033333333333333, 3.068), (4.116666666666666, 2.125), (6.416666666666667, 2.39), (14.833333333333334, 6.311), (0.0, 0.0)]"
4,"[(0.08333333333333333, 0.04), (5.583333333333333, 1.519), (6.366666666666666, 2.288), (2.65, 1.156), (4.35, 1.64)]","[(4.933333333333334, 1.619), (0.0, 0.0), (6.233333333333333, 1.948), (4.316666666666666, 1.58), (7.9, 2.557)]","[(6.933333333333334, 2.164), (6.6, 1.846), (0.1, 0.037), (5.15, 1.297), (4.966666666666667, 1.541)]","[(2.1333333333333333, 1.043), (3.9166666666666665, 1.373), (3.7, 1.131), (0.4166666666666667, 0.168), (3.5833333333333335, 1.461)]","[(3.5166666666666666, 1.644), (7.466666666666667, 2.491), (4.216666666666667, 1.508), (4.2, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (5.8, 2.005), (3.9833333333333334, 1.223), (5.783333333333333, 1.675), (8.016666666666667, 5.734)]","[(4.466666666666667, 1.384), (0.26666666666666666, 0.099), (5.783333333333333, 1.788), (6.116666666666666, 1.93), (9.85, 6.379)]","[(3.5, 1.142), (5.916666666666667, 2.416), (0.0, 0.0), (3.95, 1.393), (8.3, 6.726)]","[(5.55, 1.715), (4.75, 1.131), (4.666666666666667, 1.405), (0.0, 0.0), (8.8, 6.454)]","[(5.116666666666666, 2.371), (6.433333333333334, 2.399), (4.1, 2.061), (3.4833333333333334, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (6.5, 1.561), (4.366666666666666, 1.719), (8.166666666666666, 3.029), (10.3, 4.311)]","[(8.183333333333334, 2.311), (0.9, 0.255), (9.083333333333334, 2.925), (13.066666666666666, 4.253), (14.616666666666667, 5.535)]","[(5.933333333333334, 1.721), (12.133333333333333, 3.283), (0.3, 0.092), (9.966666666666667, 3.096), (9.0, 4.103)]","[(9.633333333333333, 2.892), (15.9, 4.8), (10.283333333333333, 3.034), (0.13333333333333333, 0.059), (10.516666666666667, 4.688)]","[(12.766666666666667, 3.802), (17.183333333333334, 7.06), (10.75, 3.912), (15.633333333333333, 4.826), (0.0, 0.0)]"
7,"[(0.0, 0.0), (8.583333333333334, 2.737), (9.183333333333334, 4.597), (4.833333333333333, 1.583), (12.816666666666666, 4.479)]","[(7.5, 2.777), (0.0, 0.0), (8.266666666666667, 2.191), (6.616666666666666, 1.976), (6.733333333333333, 2.388)]","[(12.083333333333334, 3.748), (13.183333333333334, 2.699), (0.0, 0.0), (13.516666666666667, 2.969), (6.35, 2.653)]","[(6.533333333333333, 2.002), (6.883333333333334, 1.855), (10.85, 3.229), (0.0, 0.0), (13.983333333333333, 3.588)]","[(12.883333333333333, 4.778), (8.816666666666666, 2.701), (7.45, 3.037), (14.316666666666666, 4.517), (0.1, 0.032)]"
8,"[(0.0, 0.0), (3.95, 1.812), (3.8666666666666667, 1.792), (3.1166666666666667, 2.131), (3.95, 1.775)]","[(3.283333333333333, 1.245), (0.2, 0.198), (7.283333333333333, 3.038), (2.6333333333333333, 1.906), (7.3, 3.021)]","[(4.1, 1.823), (7.916666666666667, 3.607), (0.43333333333333335, 0.147), (7.116666666666666, 3.926), (4.516666666666667, 1.855)]","[(3.183333333333333, 1.604), (5.133333333333334, 1.83), (7.166666666666667, 3.397), (0.0, 0.0), (7.783333333333333, 2.194)]","[(4.216666666666667, 1.804), (8.116666666666667, 3.588), (4.35, 1.763), (7.25, 3.907), (0.0, 0.0)]"
9,"[(1.25, 0.312), (6.983333333333333, 3.628), (9.716666666666667, 5.449), (3.3, 1.841), (6.25, 3.074)]","[(5.233333333333333, 2.844), (0.0, 0.0), (5.983333333333333, 3.387), (4.133333333333334, 2.164), (7.016666666666667, 2.842)]","[(10.633333333333333, 4.976), (10.383333333333333, 4.272), (0.0, 0.0), (10.483333333333333, 4.998), (7.816666666666666, 2.346)]","[(3.216666666666667, 1.38), (5.1, 3.226), (6.4, 3.743), (0.36666666666666664, 0.136), (4.266666666666667, 1.431)]","[(5.6, 2.98), (10.816666666666666, 4.028), (6.683333333333334, 2.859), (5.45, 3.002), (0.0, 0.0)]"
10,"[(0.0, 0.0), (9.216666666666667, 3.626), (2.95, 1.556), (9.483333333333333, 5.033), (7.6, 2.833)]","[(9.55, 4.275), (0.3333333333333333, 0.214), (10.716666666666667, 4.636), (9.716666666666667, 4.122), (12.316666666666666, 6.718)]","[(4.95, 2.191), (9.416666666666666, 4.154), (0.0, 0.0), (7.716666666666667, 4.232), (10.333333333333334, 4.099)]","[(11.783333333333333, 5.842), (9.8, 4.111), (7.25, 4.712), (0.6666666666666666, 0.454), (14.95, 7.772)]","[(7.416666666666667, 3.432), (13.3, 6.127), (8.833333333333334, 4.21), (15.216666666666667, 7.687), (0.0, 0.0)]"
11,"[(0.0, 0.0), (3.1666666666666665, 1.118), (5.35, 1.739), (6.733333333333333, 2.28), (4.216666666666667, 1.323)]","[(2.433333333333333, 0.914), (0.25, 0.069), (4.55, 1.637), (5.916666666666667, 2.138), (2.1166666666666667, 0.665)]","[(5.066666666666666, 1.77), (3.9833333333333334, 1.276), (0.0, 0.0), (2.933333333333333, 1.163), (4.683333333333334, 1.649)]","[(6.966666666666667, 2.488), (6.233333333333333, 2.055), (2.2333333333333334, 0.778), (0.21666666666666667, 0.12), (6.9, 2.428)]","[(3.6333333333333333, 1.348), (1.4666666666666666, 0.617), (4.05, 1.855), (5.45, 2.356), (0.0, 0.0)]"
12,"[(0.0, 0.0), (4.683333333333334, 2.339), (2.2, 1.067), (7.15, 2.931), (3.1333333333333333, 1.287)]","[(3.5166666666666666, 2.352), (0.0, 0.0), (3.8833333333333333, 1.493), (3.183333333333333, 1.217), (3.566666666666667, 1.255)]","[(2.75, 1.135), (5.033333333333333, 2.086), (0.23333333333333334, 0.073), (7.383333333333334, 2.678), (3.533333333333333, 1.034)]","[(6.65, 3.121), (5.2, 1.491), (7.9, 2.421), (0.0, 0.0), (7.583333333333333, 2.183)]","[(3.1166666666666667, 1.322), (4.666666666666667, 1.973), (2.75, 1.018), (7.0, 2.565), (0.6666666666666666, 0.121)]"
13,"[(0.11666666666666667, 0.108), (4.383333333333334, 2.121), (8.65, 3.24), (7.983333333333333, 3.469), (17.166666666666668, 5.456)]","[(4.833333333333333, 2.049), (0.55, 0.253), (10.85, 4.105), (4.533333333333333, 1.559), (14.616666666666667, 4.352)]","[(4.416666666666667, 2.13), (7.683333333333334, 3.622), (0.0, 0.0), (8.566666666666666, 3.684), (12.116666666666667, 3.45)]","[(8.5, 3.476), (3.716666666666667, 1.556), (10.15, 3.722), (0.0, 0.0), (12.283333333333333, 3.752)]","[(11.566666666666666, 5.147), (8.866666666666667, 4.18), (7.533333333333333, 3.246), (8.05, 3.35), (0.0, 0.0)]"
14,"[(0.1, 0.035), (4.283333333333333, 1.441), (6.883333333333334, 1.794), (7.016666666666667, 2.033), (9.8, 3.09)]","[(3.8666666666666667, 1.24), (0.0, 0.0), (8.033333333333333, 1.992), (6.5, 1.753), (11.183333333333334, 3.341)]","[(6.383333333333334, 2.325), (8.366666666666667, 2.162), (0.0, 0.0), (14.066666666666666, 4.618), (3.433333333333333, 1.38)]","[(5.033333333333333, 1.841), (5.216666666666667, 1.893), (11.566666666666666, 3.073), (1.3666666666666667, 0.777), (11.166666666666666, 3.734)]","[(6.0, 1.411), (8.933333333333334, 2.856), (3.9, 1.354), (14.783333333333333, 3.715), (0.4, 0.115)]"
15,"[(0.0, 0.0), (4.783333333333333, 2.123), (8.083333333333334, 3.01), (7.616666666666666, 2.293), (10.333333333333334, 3.487)]","[(3.566666666666667, 1.644), (0.0, 0.0), (7.483333333333333, 2.986), (6.766666666666667, 1.694), (9.483333333333333, 2.888)]","[(6.05, 2.642), (8.316666666666666, 2.95), (0.0, 0.0), (2.45, 1.161), (5.083333333333333, 2.191)]","[(6.8, 2.757), (7.1, 3.225), (2.466666666666667, 1.04), (0.0, 0.0), (2.966666666666667, 1.366)]","[(9.733333333333333, 3.806), (8.85, 3.351), (7.833333333333333, 2.517), (6.116666666666666, 2.148), (0.0, 0.0)]"
16,"[(0.0, 0.0), (4.616666666666666, 1.288), (3.8833333333333333, 1.532), (11.3, 2.974), (8.333333333333334, 2.202)]","[(4.216666666666667, 0.963), (0.0, 0.0), (6.716666666666667, 1.756), (11.35, 3.024), (8.383333333333333, 2.252)]","[(5.016666666666667, 1.517), (8.8, 2.0), (0.15, 0.07), (12.416666666666666, 4.246), (9.45, 3.474)]","[(8.333333333333334, 2.68), (12.5, 3.208), (12.216666666666667, 4.09), (0.0, 0.0), (5.316666666666666, 1.444)]","[(6.45, 1.992), (9.066666666666666, 2.54), (10.316666666666666, 3.402), (7.916666666666667, 2.724), (0.0, 0.0)]"
17,"[(0.0, 0.0), (5.033333333333333, 2.345), (8.133333333333333, 2.686), (11.9, 4.831), (7.75, 3.222)]","[(5.616666666666666, 2.585), (0.0, 0.0), (11.433333333333334, 4.185), (14.25, 5.794), (6.4, 3.177)]","[(6.333333333333333, 1.975), (8.533333333333333, 3.283), (0.0, 0.0), (8.966666666666667, 3.651), (7.35, 2.749)]","[(12.716666666666667, 4.816), (14.05, 5.796), (7.333333333333333, 3.24), (0.0, 0.0), (10.2, 4.297)]","[(9.4, 3.301), (6.033333333333333, 3.653), (6.266666666666667, 2.704), (9.1, 4.313), (0.0, 0.0)]"
18,"[(0.0, 0.0), (4.4, 2.332), (5.2, 2.539), (2.6333333333333333, 1.437), (9.483333333333333, 3.224)]","[(5.833333333333333, 2.613), (0.0, 0.0), (5.366666666666666, 2.093), (9.833333333333334, 3.625), (14.366666666666667, 4.813)]","[(5.766666666666667, 2.418), (5.7, 2.896), (0.21666666666666667, 0.071), (8.15, 2.681), (12.683333333333334, 3.869)]","[(5.783333333333333, 2.075), (8.733333333333333, 3.605), (7.55, 2.81), (0.06666666666666667, 0.046), (6.433333333333334, 2.504)]","[(7.566666666666666, 2.84), (9.283333333333333, 3.802), (8.05, 3.007), (3.4166666666666665, 1.491), (1.2, 0.533)]"
