,0,1,2,3,4
0,"[(0.0, 0.0), (10.783333333333333, 9.954), (12.85, 9.098), (10.816666666666666, 8.818), (15.333333333333334, 11.574)]","[(11.233333333333333, 9.954), (0.0, 0.0), (12.666666666666666, 6.874), (7.516666666666667, 4.912), (15.116666666666667, 11.214)]","[(12.0, 9.745), (10.033333333333333, 6.527), (0.0, 0.0), (4.15, 2.474), (8.35, 5.569)]","[(10.183333333333334, 8.643), (7.483333333333333, 4.932), (6.916666666666667, 2.854), (0.2, 0.123), (10.066666666666666, 6.53)]","[(14.933333333333334, 11.328), (15.816666666666666, 11.649), (6.133333333333334, 3.955), (9.7, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (11.666666666666666, 10.252), (3.35, 1.517), (5.333333333333333, 2.346), (10.2, 3.056)]","[(7.4, 6.039), (0.0, 0.0), (9.183333333333334, 6.854), (11.3, 7.683), (13.0, 4.943)]","[(3.75, 1.58), (13.916666666666666, 11.005), (2.3833333333333333, 0.872), (4.666666666666667, 1.765), (11.5, 4.729)]","[(5.333333333333333, 2.395), (15.483333333333333, 11.82), (4.116666666666666, 1.751), (0.0, 0.0), (8.95, 3.39)]","[(8.433333333333334, 3.121), (15.1, 8.267), (9.316666666666666, 3.44), (13.3, 5.315), (6.583333333333333, 2.085)]"
2,"[(0.0, 0.0), (12.95, 7.38), (9.766666666666667, 5.231), (4.033333333333333, 1.619), (7.516666666666667, 3.942)]","[(12.716666666666667, 7.803), (0.2833333333333333, 0.141), (5.716666666666667, 3.123), (7.783333333333333, 6.274), (4.65, 4.29)]","[(11.3, 5.292), (4.65, 2.929), (0.0, 0.0), (7.883333333333334, 4.517), (6.266666666666667, 3.71)]","[(4.6, 1.54), (9.883333333333333, 7.007), (7.25, 4.284), (0.0, 0.0), (3.0, 2.204)]","[(7.933333333333334, 3.696), (8.45, 5.399), (6.033333333333333, 3.713), (3.216666666666667, 2.167), (0.35, 0.222)]"
3,"[(0.5166666666666667, 0.191), (4.983333333333333, 2.01), (10.783333333333333, 4.301), (20.083333333333332, 7.336), (7.183333333333334, 3.081)]","[(5.833333333333333, 2.031), (0.18333333333333332, 0.079), (7.633333333333334, 2.495), (16.716666666666665, 6.081), (3.783333333333333, 1.826)]","[(10.75, 3.951), (5.983333333333333, 2.468), (0.23333333333333334, 0.072), (9.133333333333333, 3.821), (5.266666666666667, 2.28)]","[(20.4, 7.633), (18.083333333333332, 5.198), (9.4, 3.701), (0.0, 0.0), (14.966666666666667, 6.634)]","[(7.4, 3.068), (3.433333333333333, 2.125), (5.666666666666667, 2.39), (14.3, 6.311), (0.0, 0.0)]"
4,"[(0.06666666666666667, 0.04), (3.966666666666667, 1.503), (5.083333333333333, 2.033), (2.1, 0.902), (3.966666666666667, 1.709)]","[(4.133333333333334, 1.619), (0.0, 0.0), (5.1, 1.947), (3.8833333333333333, 1.58), (6.366666666666666, 2.549)]","[(6.566666666666666, 2.157), (5.85, 1.839), (0.08333333333333333, 0.037), (4.083333333333333, 1.5), (3.95, 1.526)]","[(2.25, 1.043), (3.55, 1.373), (2.966666666666667, 1.13), (0.38333333333333336, 0.168), (3.683333333333333, 1.451)]","[(3.2666666666666666, 1.644), (7.0, 2.491), (3.8666666666666667, 1.507), (3.7, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (5.766666666666667, 2.005), (4.333333333333333, 1.223), (5.116666666666666, 1.675), (7.9, 5.73)]","[(4.216666666666667, 1.384), (0.0, 0.0), (6.0, 1.788), (4.8, 1.836), (10.283333333333333, 6.317)]","[(3.1666666666666665, 1.142), (5.95, 2.209), (0.0, 0.0), (3.4166666666666665, 1.393), (7.833333333333333, 6.726)]","[(5.016666666666667, 1.715), (3.9166666666666665, 1.131), (4.1, 1.405), (0.0, 0.0), (7.816666666666666, 6.454)]","[(4.85, 2.371), (5.2, 2.399), (3.933333333333333, 2.061), (2.7, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (4.483333333333333, 1.561), (4.016666666666667, 2.003), (7.683333333333334, 2.899), (7.033333333333333, 4.311)]","[(7.866666666666666, 2.074), (0.7, 0.255), (8.033333333333333, 2.771), (12.516666666666667, 3.969), (11.883333333333333, 5.177)]","[(5.866666666666666, 1.721), (11.1, 3.283), (0.3, 0.092), (10.0, 3.096), (7.616666666666666, 4.279)]","[(8.066666666666666, 2.892), (12.883333333333333, 4.454), (8.5, 3.034), (0.16666666666666666, 0.059), (8.516666666666667, 4.725)]","[(8.633333333333333, 3.802), (12.833333333333334, 5.364), (7.066666666666666, 3.361), (13.416666666666666, 5.071), (0.15, 0.118)]"
7,"[(0.0, 0.0), (6.816666666666666, 2.737), (9.066666666666666, 4.597), (4.6, 1.583), (13.566666666666666, 4.689)]","[(7.683333333333334, 3.141), (0.0, 0.0), (4.216666666666667, 2.191), (5.483333333333333, 1.976), (6.55, 2.374)]","[(6.633333333333334, 3.745), (8.216666666666667, 2.755), (0.0, 0.0), (7.783333333333333, 2.966), (6.233333333333333, 2.653)]","[(6.1, 2.002), (5.55, 1.855), (8.35, 3.229), (0.0, 0.0), (10.233333333333333, 3.643)]","[(11.316666666666666, 4.892), (7.95, 2.701), (8.1, 3.151), (12.066666666666666, 4.113), (0.05, 0.032)]"
8,"[(0.0, 0.0), (4.216666666666667, 1.904), (4.4, 1.792), (2.8333333333333335, 2.131), (4.016666666666667, 1.775)]","[(3.033333333333333, 1.245), (0.2, 0.198), (6.85, 3.038), (2.6, 1.906), (7.05, 3.021)]","[(4.25, 1.823), (8.283333333333333, 3.699), (0.45, 0.147), (6.85, 3.926), (4.433333333333334, 1.855)]","[(2.5833333333333335, 1.604), (4.683333333333334, 1.83), (6.6, 3.397), (0.0, 0.0), (6.35, 2.194)]","[(4.283333333333333, 1.804), (8.316666666666666, 3.68), (4.616666666666666, 1.763), (6.866666666666666, 3.907), (0.0, 0.0)]"
9,"[(1.1666666666666667, 0.312), (6.216666666666667, 3.999), (10.616666666666667, 5.598), (3.4, 1.53), (6.483333333333333, 3.074)]","[(4.683333333333334, 2.844), (0.0, 0.0), (6.133333333333334, 3.387), (3.7666666666666666, 2.164), (6.766666666666667, 2.842)]","[(10.25, 4.976), (8.466666666666667, 4.272), (0.0, 0.0), (10.133333333333333, 5.143), (8.083333333333334, 2.364)]","[(3.15, 1.38), (5.383333333333334, 3.226), (6.6, 3.678), (0.3, 0.136), (4.25, 1.431)]","[(6.15, 2.98), (8.533333333333333, 4.426), (7.016666666666667, 2.708), (6.166666666666667, 3.002), (0.0, 0.0)]"
