,0,1,2,3,4
0,"[(0.0, 0.0), (13.483333333333333, 9.954), (13.2, 9.098), (11.55, 8.818), (19.333333333333332, 12.053)]","[(12.833333333333334, 9.954), (1.3666666666666667, 0.826), (14.383333333333333, 6.874), (9.016666666666667, 4.912), (16.866666666666667, 15.169)]","[(12.466666666666667, 9.745), (12.8, 6.527), (0.0, 0.0), (4.033333333333333, 2.474), (8.466666666666667, 5.569)]","[(10.383333333333333, 8.668), (9.966666666666667, 4.932), (7.1, 2.854), (0.0, 0.0), (10.683333333333334, 6.53)]","[(15.95, 11.328), (17.833333333333332, 10.327), (5.616666666666666, 3.955), (9.066666666666666, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (13.35, 8.159), (3.4166666666666665, 1.517), (5.233333333333333, 2.346), (9.65, 3.056)]","[(7.7, 6.039), (0.0, 0.0), (9.65, 6.854), (11.516666666666667, 7.683), (11.833333333333334, 4.943)]","[(4.133333333333334, 1.58), (16.55, 9.215), (2.75, 0.872), (3.533333333333333, 1.751), (10.966666666666667, 3.425)]","[(5.316666666666666, 2.395), (18.45, 10.446), (3.95, 1.751), (0.0, 0.0), (9.366666666666667, 3.39)]","[(8.9, 3.121), (15.966666666666667, 8.267), (9.916666666666666, 3.44), (13.1, 5.325), (6.95, 2.085)]"
2,"[(0.0, 0.0), (14.233333333333333, 7.38), (11.166666666666666, 5.231), (4.716666666666667, 1.619), (7.9, 4.149)]","[(16.9, 8.006), (0.25, 0.141), (8.066666666666666, 3.123), (12.166666666666666, 6.477), (9.483333333333333, 4.424)]","[(12.583333333333334, 5.292), (6.133333333333334, 2.929), (0.0, 0.0), (9.233333333333333, 4.517), (8.683333333333334, 3.814)]","[(4.2, 1.54), (10.716666666666667, 6.429), (7.75, 4.28), (0.0, 0.0), (4.666666666666667, 2.824)]","[(8.083333333333334, 3.624), (10.533333333333333, 5.264), (7.433333333333334, 3.115), (3.4833333333333334, 2.095), (0.3333333333333333, 0.222)]"
3,"[(0.5166666666666667, 0.191), (4.85, 2.01), (10.016666666666667, 4.063), (18.683333333333334, 8.859), (6.65, 3.081)]","[(5.6, 2.031), (0.18333333333333332, 0.079), (6.383333333333334, 2.187), (13.583333333333334, 5.189), (3.2, 2.061)]","[(10.766666666666667, 4.095), (6.55, 2.178), (0.25, 0.072), (9.266666666666667, 3.824), (5.4, 2.424)]","[(19.1, 7.633), (14.333333333333334, 5.242), (8.55, 3.701), (0.0, 0.0), (12.733333333333333, 6.634)]","[(7.3, 3.068), (3.2666666666666666, 2.125), (5.483333333333333, 2.545), (12.666666666666666, 6.054), (0.0, 0.0)]"
4,"[(0.1, 0.04), (4.766666666666667, 1.519), (6.116666666666666, 2.033), (2.1166666666666667, 0.902), (4.483333333333333, 1.709)]","[(3.7333333333333334, 1.564), (0.0, 0.0), (6.366666666666666, 1.947), (3.816666666666667, 1.58), (6.1, 2.446)]","[(5.8, 2.164), (6.3, 1.846), (0.08333333333333333, 0.037), (4.166666666666667, 1.297), (4.866666666666666, 1.533)]","[(2.066666666666667, 1.043), (4.783333333333333, 1.373), (4.016666666666667, 1.13), (0.38333333333333336, 0.168), (2.966666666666667, 1.437)]","[(3.65, 1.644), (7.4, 2.491), (3.966666666666667, 1.507), (3.283333333333333, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (4.8, 2.005), (2.4833333333333334, 1.115), (4.933333333333334, 1.675), (7.9, 5.69)]","[(3.4833333333333334, 1.384), (0.2, 0.099), (5.033333333333333, 1.788), (6.166666666666667, 2.24), (8.983333333333333, 5.096)]","[(2.3833333333333333, 1.161), (7.016666666666667, 2.209), (0.0, 0.0), (3.1, 1.393), (7.8, 6.726)]","[(5.5, 1.715), (4.116666666666666, 1.131), (4.433333333333334, 1.405), (0.0, 0.0), (8.166666666666666, 6.454)]","[(4.166666666666667, 2.429), (6.5, 2.399), (4.666666666666667, 2.061), (3.2333333333333334, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (3.85, 1.561), (3.7, 1.719), (7.833333333333333, 2.899), (7.683333333333334, 4.311)]","[(7.683333333333334, 2.074), (0.6166666666666667, 0.255), (8.183333333333334, 2.771), (12.366666666666667, 3.969), (12.083333333333334, 5.177)]","[(6.1, 1.721), (10.15, 3.283), (0.3, 0.092), (9.333333333333334, 3.096), (7.733333333333333, 4.239)]","[(7.233333333333333, 2.911), (11.233333333333333, 4.473), (7.333333333333333, 3.053), (0.16666666666666666, 0.059), (8.333333333333334, 4.725)]","[(9.733333333333333, 3.802), (13.9, 5.364), (6.633333333333334, 3.361), (12.533333333333333, 5.57), (0.0, 0.0)]"
7,"[(0.0, 0.0), (7.416666666666667, 2.737), (8.316666666666666, 4.597), (4.266666666666667, 1.583), (14.35, 4.689)]","[(7.733333333333333, 3.141), (0.0, 0.0), (5.216666666666667, 2.191), (5.25, 1.976), (7.633333333333334, 2.55)]","[(7.1, 3.745), (8.583333333333334, 2.841), (0.0, 0.0), (8.366666666666667, 2.966), (6.35, 2.653)]","[(5.216666666666667, 2.002), (6.0, 1.855), (9.8, 3.229), (0.0, 0.0), (12.45, 3.643)]","[(11.466666666666667, 4.778), (9.533333333333333, 2.701), (7.483333333333333, 3.037), (13.1, 3.999), (0.1, 0.032)]"
8,"[(0.0, 0.0), (4.083333333333333, 1.812), (4.083333333333333, 1.792), (2.9166666666666665, 2.131), (4.133333333333334, 1.775)]","[(2.8666666666666667, 1.245), (0.2, 0.198), (7.116666666666666, 3.038), (2.75, 1.906), (7.066666666666666, 3.021)]","[(5.016666666666667, 1.823), (9.25, 3.607), (0.43333333333333335, 0.147), (7.55, 3.214), (4.75, 1.855)]","[(2.35, 1.604), (4.916666666666667, 1.83), (6.6, 3.397), (0.0, 0.0), (6.483333333333333, 2.194)]","[(4.616666666666666, 1.731), (8.766666666666667, 3.186), (4.083333333333333, 1.69), (6.666666666666667, 2.618), (0.0, 0.0)]"
9,"[(1.05, 0.312), (6.816666666666666, 3.342), (10.0, 5.54), (3.2, 1.783), (6.066666666666666, 3.074)]","[(4.566666666666666, 2.844), (0.0, 0.0), (6.05, 3.387), (3.7, 2.164), (6.816666666666666, 2.842)]","[(10.633333333333333, 4.976), (8.383333333333333, 4.272), (0.0, 0.0), (10.033333333333333, 5.143), (7.033333333333333, 2.363)]","[(3.283333333333333, 1.38), (5.283333333333333, 3.226), (7.016666666666667, 3.743), (0.26666666666666666, 0.136), (3.7333333333333334, 1.432)]","[(5.866666666666666, 2.98), (9.716666666666667, 4.028), (5.566666666666666, 2.708), (5.95, 3.002), (0.0, 0.0)]"
