,0,1,2,3,4
0,"[(0.0, 0.0), (10.616666666666667, 9.954), (12.766666666666667, 9.098), (11.166666666666666, 8.818), (15.166666666666666, 11.574)]","[(10.933333333333334, 9.954), (0.0, 0.0), (11.8, 6.874), (6.966666666666667, 4.912), (15.066666666666666, 11.257)]","[(11.833333333333334, 9.745), (10.05, 6.527), (0.0, 0.0), (4.116666666666666, 2.474), (8.466666666666667, 5.569)]","[(10.0, 8.656), (7.35, 4.932), (6.8, 2.854), (0.0, 0.0), (10.116666666666667, 6.53)]","[(14.566666666666666, 11.328), (15.25, 11.649), (5.966666666666667, 3.955), (9.5, 6.274), (0.0, 0.0)]"
1,"[(0.0, 0.0), (12.15, 10.252), (4.316666666666666, 1.517), (5.483333333333333, 2.346), (7.316666666666666, 3.056)]","[(7.633333333333334, 6.039), (0.0, 0.0), (10.483333333333333, 6.854), (11.616666666666667, 7.683), (11.35, 4.943)]","[(3.783333333333333, 1.58), (14.1, 11.005), (2.183333333333333, 0.872), (4.65, 1.765), (9.683333333333334, 3.425)]","[(5.483333333333333, 2.395), (15.7, 11.82), (5.183333333333334, 1.751), (0.0, 0.0), (8.8, 3.39)]","[(8.333333333333334, 3.121), (16.083333333333332, 7.542), (9.266666666666667, 3.34), (12.016666666666667, 5.457), (6.95, 2.085)]"
2,"[(0.0, 0.0), (13.45, 8.439), (11.1, 5.231), (4.4, 1.619), (8.2, 3.575)]","[(13.433333333333334, 7.919), (0.5, 0.141), (5.3, 3.123), (8.55, 6.39), (5.016666666666667, 4.29)]","[(10.816666666666666, 5.292), (5.433333333333334, 2.929), (0.0, 0.0), (7.733333333333333, 4.517), (6.483333333333333, 3.71)]","[(4.516666666666667, 1.89), (9.7, 7.007), (8.266666666666667, 4.284), (0.0, 0.0), (2.816666666666667, 2.204)]","[(8.45, 4.359), (6.6, 5.202), (6.033333333333333, 3.311), (3.1666666666666665, 2.095), (0.3333333333333333, 0.222)]"
3,"[(0.5166666666666667, 0.191), (5.15, 2.01), (10.983333333333333, 4.063), (20.9, 8.86), (7.3, 3.081)]","[(7.266666666666667, 2.043), (0.2833333333333333, 0.079), (7.55, 2.82), (16.583333333333332, 5.148), (3.783333333333333, 1.838)]","[(12.366666666666667, 3.951), (7.233333333333333, 3.008), (0.23333333333333334, 0.072), (11.283333333333333, 3.209), (5.283333333333333, 2.28)]","[(21.683333333333334, 8.849), (16.583333333333332, 7.906), (9.45, 3.701), (0.0, 0.0), (13.283333333333333, 6.635)]","[(9.233333333333333, 3.068), (4.133333333333334, 2.125), (6.483333333333333, 2.39), (14.55, 6.066), (0.0, 0.0)]"
4,"[(0.08333333333333333, 0.04), (4.866666666666666, 1.519), (5.85, 2.033), (2.25, 0.902), (4.283333333333333, 1.64)]","[(3.85, 1.564), (0.0, 0.0), (5.883333333333334, 1.947), (4.216666666666667, 1.58), (7.033333333333333, 2.557)]","[(6.133333333333334, 2.198), (5.116666666666666, 1.884), (0.0, 0.0), (4.083333333333333, 1.332), (4.116666666666666, 1.579)]","[(2.3666666666666667, 1.039), (3.5166666666666666, 1.373), (3.5833333333333335, 1.13), (0.4166666666666667, 0.168), (3.716666666666667, 1.459)]","[(3.35, 1.64), (6.383333333333334, 2.491), (3.716666666666667, 1.509), (3.783333333333333, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (5.45, 2.005), (3.2333333333333334, 1.129), (4.866666666666666, 1.675), (7.166666666666667, 5.69)]","[(4.466666666666667, 1.494), (0.0, 0.0), (6.016666666666667, 1.898), (4.75, 1.846), (7.266666666666667, 5.074)]","[(3.1, 1.142), (5.45, 2.209), (0.0, 0.0), (3.3333333333333335, 1.393), (7.116666666666666, 6.726)]","[(5.016666666666667, 1.715), (5.35, 1.131), (5.45, 1.405), (0.0, 0.0), (7.8, 6.454)]","[(4.216666666666667, 2.371), (4.783333333333333, 2.399), (4.983333333333333, 2.061), (2.5833333333333335, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (4.383333333333334, 1.561), (2.566666666666667, 1.719), (8.05, 3.285), (6.466666666666667, 4.125)]","[(6.95, 2.074), (0.7666666666666667, 0.255), (6.5, 2.771), (12.416666666666666, 3.969), (10.533333333333333, 5.177)]","[(5.4, 2.148), (9.966666666666667, 3.71), (0.2833333333333333, 0.092), (8.516666666666667, 4.013), (7.816666666666666, 4.585)]","[(7.966666666666667, 2.911), (12.55, 4.473), (9.733333333333333, 3.156), (0.0, 0.0), (9.1, 4.725)]","[(7.333333333333333, 3.802), (11.916666666666666, 5.364), (6.266666666666667, 3.361), (11.7, 7.446), (0.0, 0.0)]"
7,"[(0.0, 0.0), (8.133333333333333, 2.901), (8.6, 4.083), (4.9, 1.583), (14.133333333333333, 4.634)]","[(6.916666666666667, 3.141), (0.0, 0.0), (4.45, 2.191), (5.583333333333333, 1.976), (6.7, 2.388)]","[(6.833333333333333, 3.745), (7.333333333333333, 3.478), (0.0, 0.0), (6.416666666666667, 2.966), (5.4, 2.653)]","[(6.916666666666667, 2.008), (6.45, 1.855), (9.483333333333333, 3.229), (0.0, 0.0), (12.433333333333334, 3.588)]","[(11.666666666666666, 4.778), (6.983333333333333, 2.701), (7.766666666666667, 3.037), (11.283333333333333, 3.999), (0.0, 0.0)]"
8,"[(0.0, 0.0), (4.15, 1.904), (4.216666666666667, 1.792), (2.966666666666667, 2.131), (4.0, 1.775)]","[(3.1333333333333333, 1.245), (0.2, 0.198), (7.466666666666667, 3.038), (2.533333333333333, 1.906), (7.233333333333333, 3.021)]","[(4.666666666666667, 1.823), (8.433333333333334, 3.699), (0.5, 0.147), (7.216666666666667, 3.926), (4.216666666666667, 1.855)]","[(2.5833333333333335, 1.604), (5.116666666666666, 1.83), (6.8, 3.397), (0.0, 0.0), (6.733333333333333, 2.194)]","[(4.866666666666666, 1.731), (8.966666666666667, 3.607), (4.25, 1.69), (7.316666666666666, 2.618), (0.0, 0.0)]"
9,"[(1.1666666666666667, 0.312), (6.4, 3.999), (9.8, 5.449), (3.3833333333333333, 1.841), (6.283333333333333, 3.074)]","[(4.933333333333334, 2.844), (0.0, 0.0), (6.533333333333333, 3.387), (3.6, 2.164), (6.416666666666667, 2.842)]","[(10.983333333333333, 5.823), (8.366666666666667, 4.272), (0.0, 0.0), (9.65, 5.143), (7.166666666666667, 2.346)]","[(3.4833333333333334, 1.38), (5.566666666666666, 3.226), (6.666666666666667, 3.743), (0.3, 0.136), (4.483333333333333, 1.452)]","[(5.866666666666666, 2.673), (10.25, 4.028), (6.15, 2.831), (5.366666666666666, 2.695), (0.0, 0.0)]"
