,0,1,2,3,4
0,"[(0.0, 0.0), (10.483333333333333, 9.954), (12.466666666666667, 9.098), (11.05, 8.818), (15.016666666666667, 11.574)]","[(10.933333333333334, 9.954), (0.0, 0.0), (11.75, 6.874), (7.15, 4.912), (15.466666666666667, 11.257)]","[(12.266666666666667, 9.098), (10.266666666666667, 6.527), (0.0, 0.0), (4.25, 2.474), (8.683333333333334, 5.569)]","[(9.983333333333333, 8.656), (7.1, 4.932), (6.616666666666666, 2.896), (0.15, 0.123), (10.0, 6.53)]","[(14.4, 11.375), (15.066666666666666, 11.696), (6.0, 4.002), (9.716666666666667, 6.321), (0.0, 0.0)]"
1,"[(0.0, 0.0), (12.683333333333334, 8.159), (3.683333333333333, 1.517), (6.216666666666667, 2.346), (7.35, 3.056)]","[(7.916666666666667, 6.038), (0.0, 0.0), (9.9, 6.853), (12.433333333333334, 7.682), (11.05, 4.942)]","[(3.8333333333333335, 1.58), (14.666666666666666, 11.005), (2.183333333333333, 0.872), (5.1, 1.765), (8.75, 3.44)]","[(5.533333333333333, 2.395), (16.283333333333335, 11.82), (4.266666666666667, 1.751), (0.0, 0.0), (9.7, 3.39)]","[(9.266666666666667, 3.121), (16.816666666666666, 8.267), (10.166666666666666, 3.425), (12.15, 5.457), (7.816666666666666, 2.085)]"
2,"[(0.0, 0.0), (13.566666666666666, 7.38), (10.783333333333333, 5.231), (5.5, 1.619), (8.35, 3.942)]","[(15.816666666666666, 7.732), (0.26666666666666666, 0.141), (5.516666666666667, 3.123), (9.066666666666666, 6.327), (5.6, 4.29)]","[(12.516666666666667, 5.555), (5.25, 2.929), (0.0, 0.0), (8.616666666666667, 4.517), (7.566666666666666, 3.71)]","[(5.4, 1.54), (9.633333333333333, 6.429), (6.8, 4.28), (0.0, 0.0), (3.7, 2.204)]","[(9.483333333333333, 3.525), (7.45, 5.202), (6.383333333333334, 3.115), (3.683333333333333, 2.095), (0.3333333333333333, 0.222)]"
3,"[(0.5166666666666667, 0.191), (5.083333333333333, 2.01), (11.216666666666667, 4.063), (19.916666666666668, 7.848), (7.1, 3.081)]","[(6.3, 2.031), (0.2, 0.079), (7.733333333333333, 3.046), (16.516666666666666, 6.593), (3.8, 1.826)]","[(11.933333333333334, 3.951), (7.8, 2.242), (0.25, 0.072), (10.616666666666667, 3.876), (6.25, 2.28)]","[(21.1, 8.105), (18.533333333333335, 5.703), (10.95, 3.76), (0.0, 0.0), (15.1, 6.694)]","[(8.05, 3.068), (4.066666666666666, 2.125), (6.116666666666666, 2.39), (14.983333333333333, 6.311), (0.0, 0.0)]"
4,"[(0.08333333333333333, 0.04), (4.1, 1.503), (5.916666666666667, 2.034), (2.35, 0.902), (4.716666666666667, 1.717)]","[(3.5833333333333335, 1.619), (0.0, 0.0), (6.916666666666667, 1.948), (4.05, 1.58), (6.583333333333333, 2.603)]","[(6.633333333333334, 2.164), (7.3, 1.846), (0.08333333333333333, 0.037), (6.033333333333333, 1.297), (4.683333333333334, 1.541)]","[(2.25, 1.043), (4.966666666666667, 1.373), (3.5, 1.131), (0.4, 0.168), (3.6, 1.459)]","[(3.433333333333333, 1.574), (7.716666666666667, 2.491), (4.333333333333333, 1.508), (3.3, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (6.233333333333333, 2.143), (3.05, 1.115), (5.966666666666667, 1.675), (6.6, 5.69)]","[(4.216666666666667, 1.384), (0.1, 0.099), (4.983333333333333, 1.788), (5.316666666666666, 1.846), (10.816666666666666, 6.359)]","[(3.066666666666667, 1.142), (6.316666666666666, 2.426), (0.0, 0.0), (3.4833333333333334, 1.393), (8.05, 6.726)]","[(6.0, 1.715), (5.033333333333333, 1.131), (5.116666666666666, 1.405), (0.15, 0.089), (9.0, 6.454)]","[(5.233333333333333, 2.459), (7.883333333333334, 2.399), (6.1, 2.061), (4.766666666666667, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (4.516666666666667, 1.561), (4.85, 2.003), (8.0, 2.899), (8.15, 4.311)]","[(9.683333333333334, 2.399), (0.7666666666666667, 0.255), (9.933333333333334, 2.925), (15.766666666666667, 3.969), (14.933333333333334, 5.381)]","[(6.033333333333333, 1.721), (10.733333333333333, 3.283), (0.3, 0.092), (9.4, 3.148), (8.35, 4.257)]","[(9.7, 2.911), (14.4, 4.473), (9.95, 3.053), (0.0, 0.0), (10.9, 4.725)]","[(9.0, 3.802), (13.7, 5.364), (6.533333333333333, 3.361), (13.316666666666666, 5.562), (0.0, 0.0)]"
7,"[(0.0, 0.0), (7.116666666666666, 2.737), (9.316666666666666, 4.597), (4.333333333333333, 1.583), (12.633333333333333, 4.639)]","[(6.733333333333333, 2.777), (0.0, 0.0), (6.066666666666666, 2.191), (5.95, 1.976), (6.45, 2.388)]","[(7.483333333333333, 3.745), (8.85, 2.696), (0.0, 0.0), (10.9, 2.966), (6.783333333333333, 2.66)]","[(6.3, 2.214), (5.983333333333333, 1.855), (9.0, 3.229), (0.0, 0.0), (10.766666666666667, 3.593)]","[(11.483333333333333, 4.584), (8.6, 2.701), (8.15, 3.05), (13.633333333333333, 4.976), (0.05, 0.032)]"
8,"[(0.0, 0.0), (5.666666666666667, 2.387), (4.25, 1.792), (3.566666666666667, 1.84), (4.05, 1.775)]","[(3.066666666666667, 1.245), (0.2, 0.198), (7.65, 3.038), (2.966666666666667, 1.906), (7.233333333333333, 3.021)]","[(4.433333333333334, 1.823), (9.733333333333333, 3.607), (0.4166666666666667, 0.147), (8.15, 3.214), (4.233333333333333, 1.855)]","[(2.466666666666667, 1.604), (5.166666666666667, 1.83), (6.7, 2.697), (0.0, 0.0), (5.25, 2.194)]","[(4.933333333333334, 1.804), (10.216666666666667, 3.259), (4.783333333333333, 1.763), (7.65, 2.691), (0.0, 0.0)]"
9,"[(1.1666666666666667, 0.312), (6.2, 4.143), (9.4, 5.449), (3.6333333333333333, 1.841), (6.3, 3.074)]","[(4.516666666666667, 2.844), (0.0, 0.0), (6.466666666666667, 3.387), (3.6, 2.164), (7.166666666666667, 2.842)]","[(10.8, 5.823), (8.25, 4.272), (0.0, 0.0), (9.783333333333333, 5.143), (7.583333333333333, 2.346)]","[(3.183333333333333, 1.38), (5.15, 3.226), (6.833333333333333, 3.743), (0.36666666666666664, 0.136), (4.216666666666667, 1.533)]","[(5.5, 2.98), (9.633333333333333, 4.426), (6.133333333333334, 2.708), (5.633333333333334, 3.002), (0.0, 0.0)]"
10,"[(0.0, 0.0), (7.033333333333333, 3.626), (3.3833333333333333, 1.53), (10.1, 5.033), (6.883333333333334, 2.833)]","[(8.766666666666667, 4.275), (0.21666666666666667, 0.214), (10.416666666666666, 4.618), (8.683333333333334, 4.122), (11.916666666666666, 6.718)]","[(5.15, 2.191), (9.983333333333333, 4.154), (0.0, 0.0), (7.35, 4.232), (9.85, 4.099)]","[(11.183333333333334, 5.566), (8.933333333333334, 4.975), (7.75, 4.712), (0.8, 0.454), (14.516666666666667, 6.868)]","[(9.1, 3.212), (10.266666666666667, 6.127), (9.3, 4.192), (15.6, 7.672), (0.0, 0.0)]"
11,"[(0.0, 0.0), (3.4833333333333334, 1.285), (4.95, 1.784), (6.333333333333333, 2.285), (4.816666666666666, 1.323)]","[(2.5, 0.911), (0.21666666666666667, 0.069), (6.133333333333334, 1.441), (7.516666666666667, 1.942), (2.1, 0.665)]","[(4.8, 1.905), (3.4833333333333334, 1.276), (0.0, 0.0), (2.85, 1.163), (4.133333333333334, 1.649)]","[(7.416666666666667, 2.374), (5.683333333333334, 2.055), (1.75, 0.778), (0.0, 0.0), (5.633333333333334, 2.428)]","[(4.0, 1.348), (1.3333333333333333, 0.617), (5.25, 1.855), (6.6, 2.356), (0.0, 0.0)]"
12,"[(0.0, 0.0), (5.816666666666666, 2.339), (2.1666666666666665, 1.067), (7.9, 4.298), (3.2, 1.287)]","[(3.35, 2.352), (0.0, 0.0), (3.9166666666666665, 1.493), (2.816666666666667, 1.217), (3.3333333333333335, 1.255)]","[(2.7333333333333334, 1.155), (5.716666666666667, 2.086), (0.23333333333333334, 0.073), (6.683333333333334, 2.372), (3.1666666666666665, 1.034)]","[(6.816666666666666, 3.121), (4.166666666666667, 1.491), (6.85, 2.421), (0.0, 0.0), (6.266666666666667, 2.183)]","[(3.2, 1.322), (5.65, 1.973), (2.933333333333333, 1.018), (8.633333333333333, 2.565), (0.5666666666666667, 0.121)]"
13,"[(0.0, 0.0), (4.95, 2.121), (8.266666666666667, 3.24), (8.0, 3.469), (12.516666666666667, 5.235)]","[(4.216666666666667, 2.171), (0.25, 0.253), (8.6, 4.105), (3.816666666666667, 1.559), (9.933333333333334, 4.352)]","[(4.616666666666666, 2.13), (8.283333333333333, 3.622), (0.0, 0.0), (8.6, 3.541), (10.05, 3.554)]","[(7.183333333333334, 3.472), (3.4833333333333334, 1.556), (8.616666666666667, 3.722), (0.0, 0.0), (9.016666666666667, 3.519)]","[(10.216666666666667, 5.16), (8.416666666666666, 4.716), (7.133333333333334, 3.246), (7.333333333333333, 3.35), (0.0, 0.0)]"
14,"[(0.1, 0.035), (4.65, 1.441), (7.183333333333334, 1.894), (8.516666666666667, 2.029), (10.4, 2.989)]","[(3.6333333333333333, 1.261), (0.0, 0.0), (9.2, 1.992), (3.6666666666666665, 1.038), (12.5, 3.087)]","[(6.533333333333333, 2.31), (8.633333333333333, 2.162), (0.1, 0.036), (11.383333333333333, 2.933), (3.4166666666666665, 1.395)]","[(5.95, 1.841), (3.5, 0.98), (13.083333333333334, 2.892), (1.8666666666666667, 0.777), (13.883333333333333, 4.237)]","[(4.833333333333333, 1.381), (9.633333333333333, 2.856), (3.95, 1.354), (11.1, 3.633), (0.35, 0.115)]"
15,"[(0.0, 0.0), (4.566666666666666, 2.123), (8.316666666666666, 2.984), (6.766666666666667, 2.293), (9.333333333333334, 3.487)]","[(4.116666666666666, 1.661), (0.0, 0.0), (7.366666666666666, 2.385), (5.8, 1.694), (8.35, 2.888)]","[(6.133333333333334, 2.642), (8.266666666666667, 3.562), (0.0, 0.0), (2.066666666666667, 1.029), (5.15, 2.365)]","[(7.333333333333333, 2.77), (7.25, 3.09), (2.55, 1.04), (0.0, 0.0), (2.966666666666667, 1.366)]","[(11.383333333333333, 4.3), (10.366666666666667, 4.414), (6.633333333333334, 2.57), (5.616666666666666, 2.082), (0.0, 0.0)]"
16,"[(0.0, 0.0), (4.666666666666667, 1.339), (4.666666666666667, 1.532), (9.133333333333333, 2.974), (5.7, 2.202)]","[(5.25, 1.023), (0.0, 0.0), (8.1, 1.816), (12.566666666666666, 3.084), (9.133333333333333, 2.312)]","[(5.95, 1.412), (7.566666666666666, 1.741), (0.16666666666666666, 0.07), (12.95, 3.884), (9.516666666666667, 3.112)]","[(9.166666666666666, 2.68), (14.683333333333334, 4.504), (14.116666666666667, 4.1), (0.0, 0.0), (5.916666666666667, 1.444)]","[(7.266666666666667, 2.277), (10.4, 2.846), (12.0, 3.934), (7.85, 2.77), (0.0, 0.0)]"
17,"[(0.0, 0.0), (4.7, 2.345), (8.483333333333333, 2.686), (11.466666666666667, 4.831), (7.433333333333334, 3.222)]","[(5.266666666666667, 2.585), (0.0, 0.0), (10.916666666666666, 4.176), (14.366666666666667, 5.794), (5.683333333333334, 3.177)]","[(6.25, 2.036), (8.333333333333334, 3.344), (0.16666666666666666, 0.168), (8.733333333333333, 3.529), (6.5, 2.627)]","[(11.733333333333333, 4.816), (13.433333333333334, 5.796), (6.583333333333333, 3.231), (0.0, 0.0), (9.45, 4.297)]","[(9.25, 3.301), (5.9, 3.653), (6.25, 2.695), (9.716666666666667, 4.313), (0.0, 0.0)]"
18,"[(0.0, 0.0), (4.016666666666667, 2.332), (5.1, 1.884), (2.9, 1.439), (7.9, 3.224)]","[(5.416666666666667, 2.613), (0.0, 0.0), (5.266666666666667, 2.093), (9.333333333333334, 3.625), (12.416666666666666, 4.813)]","[(7.25, 2.423), (5.716666666666667, 2.896), (0.13333333333333333, 0.071), (7.233333333333333, 2.681), (10.316666666666666, 3.869)]","[(6.383333333333334, 2.654), (8.666666666666666, 3.616), (8.2, 2.815), (0.06666666666666667, 0.046), (6.3, 2.511)]","[(7.7, 2.84), (10.05, 3.802), (9.4, 3.007), (4.266666666666667, 1.491), (1.15, 0.533)]"
19,"[(0.0, 0.0), (6.116666666666666, 3.597), (5.55, 1.655), (5.65, 1.975), (6.566666666666666, 2.54)]","[(11.016666666666667, 6.359), (0.08333333333333333, 0.079), (10.7, 5.603), (8.7, 5.877), (10.266666666666667, 6.886)]","[(6.133333333333334, 1.694), (8.483333333333333, 3.699), (1.1166666666666667, 0.351), (10.666666666666666, 3.258), (11.566666666666666, 3.823)]","[(7.516666666666667, 2.228), (5.4, 3.278), (10.466666666666667, 4.401), (0.0, 0.0), (6.766666666666667, 2.755)]","[(6.933333333333334, 2.617), (5.7, 4.201), (11.366666666666667, 3.861), (5.216666666666667, 2.579), (1.5166666666666666, 0.939)]"
20,"[(0.0, 0.0), (9.916666666666666, 4.946), (11.45, 5.175), (8.5, 3.583), (10.233333333333333, 4.288)]","[(8.083333333333334, 3.219), (0.0, 0.0), (5.2, 2.938), (10.8, 4.954), (4.0, 2.051)]","[(11.716666666666667, 4.787), (9.533333333333333, 4.029), (0.0, 0.0), (14.6, 6.522), (9.25, 4.076)]","[(6.966666666666667, 2.165), (11.216666666666667, 6.031), (13.3, 6.304), (0.0, 0.0), (12.916666666666666, 5.067)]","[(10.266666666666667, 3.941), (8.15, 3.183), (1.2, 0.886), (13.133333333333333, 5.676), (0.0, 0.0)]"
21,"[(0.0, 0.0), (3.783333333333333, 2.173), (2.05, 1.216), (5.05, 3.407), (5.916666666666667, 1.516)]","[(2.966666666666667, 2.156), (0.25, 0.251), (1.2833333333333334, 1.129), (1.25, 1.233), (9.3, 3.833)]","[(1.45, 1.103), (1.9833333333333334, 1.131), (0.0, 0.0), (3.2333333333333334, 2.365), (7.033333333333333, 2.612)]","[(4.266666666666667, 3.46), (1.35, 1.265), (2.65, 2.433), (2.8666666666666667, 2.863), (10.95, 5.204)]","[(4.233333333333333, 1.27), (7.533333333333333, 3.209), (5.066666666666666, 2.303), (8.8, 4.443), (0.0, 0.0)]"
