,0,1,2,3,4
0,"[(0.0, 0.0), (10.7, 9.954), (12.4, 9.098), (11.016666666666667, 8.818), (15.533333333333333, 11.574)]","[(10.766666666666667, 9.954), (0.0, 0.0), (11.766666666666667, 6.874), (7.3, 4.912), (16.05, 11.257)]","[(12.166666666666666, 9.745), (10.15, 6.527), (0.0, 0.0), (4.15, 2.474), (8.866666666666667, 5.569)]","[(9.983333333333333, 8.668), (7.216666666666667, 4.932), (7.583333333333333, 2.854), (0.0, 0.0), (10.666666666666666, 6.53)]","[(14.5, 11.328), (15.366666666666667, 11.649), (6.183333333333334, 3.955), (9.816666666666666, 6.274), (0.05, 0.045)]"
1,"[(0.0, 0.0), (14.866666666666667, 10.252), (3.7, 1.517), (6.216666666666667, 2.346), (7.5, 3.056)]","[(10.95, 5.239), (0.0, 0.0), (13.516666666666667, 6.854), (16.016666666666666, 7.683), (13.766666666666667, 4.943)]","[(4.283333333333333, 1.58), (17.416666666666668, 11.005), (2.6166666666666667, 0.872), (5.316666666666666, 1.765), (8.933333333333334, 3.425)]","[(5.0, 2.395), (18.216666666666665, 11.82), (4.0, 1.751), (0.0, 0.0), (8.816666666666666, 3.39)]","[(8.766666666666667, 3.121), (16.433333333333334, 6.743), (9.433333333333334, 3.34), (12.133333333333333, 5.457), (6.95, 2.085)]"
2,"[(0.0, 0.0), (17.1, 7.504), (13.7, 5.339), (5.416666666666667, 1.619), (8.816666666666666, 4.202)]","[(16.0, 7.732), (0.65, 0.141), (6.283333333333333, 3.123), (10.733333333333333, 6.274), (6.283333333333333, 4.29)]","[(11.8, 5.292), (5.266666666666667, 2.945), (0.0, 0.0), (8.483333333333333, 4.517), (7.016666666666667, 3.71)]","[(4.45, 1.54), (12.966666666666667, 7.007), (11.95, 4.28), (0.0, 0.0), (3.9833333333333334, 2.204)]","[(8.316666666666666, 3.624), (9.7, 5.202), (8.433333333333334, 3.115), (3.5, 2.095), (0.4, 0.222)]"
3,"[(0.5166666666666667, 0.191), (5.216666666666667, 2.01), (12.0, 4.063), (24.05, 7.535), (7.9, 3.081)]","[(7.433333333333334, 2.031), (0.21666666666666667, 0.079), (9.216666666666667, 2.142), (20.1, 5.148), (4.583333333333333, 1.826)]","[(15.2, 3.951), (9.583333333333334, 2.621), (0.21666666666666667, 0.072), (13.0, 3.779), (7.65, 2.302)]","[(24.683333333333334, 8.046), (19.25, 6.716), (11.716666666666667, 3.701), (0.0, 0.0), (17.283333333333335, 6.635)]","[(9.25, 3.068), (3.65, 1.738), (7.083333333333333, 2.39), (18.683333333333334, 5.248), (0.0, 0.0)]"
4,"[(0.08333333333333333, 0.04), (5.283333333333333, 1.519), (6.45, 2.034), (2.183333333333333, 0.902), (4.6, 1.717)]","[(4.183333333333334, 1.619), (0.0, 0.0), (7.45, 1.947), (4.05, 1.58), (6.716666666666667, 2.455)]","[(7.583333333333333, 2.16), (7.233333333333333, 1.846), (0.0, 0.0), (4.883333333333334, 1.508), (4.916666666666667, 1.541)]","[(2.2666666666666666, 1.039), (4.316666666666666, 1.373), (4.516666666666667, 1.13), (0.43333333333333335, 0.168), (4.116666666666666, 1.459)]","[(5.25, 1.64), (7.066666666666666, 2.35), (4.283333333333333, 1.585), (3.75, 1.345), (0.0, 0.0)]"
5,"[(0.0, 0.0), (5.533333333333333, 2.005), (2.933333333333333, 1.115), (5.066666666666666, 1.675), (11.033333333333333, 5.747)]","[(3.433333333333333, 1.384), (0.0, 0.0), (4.4, 1.788), (6.05, 2.24), (11.683333333333334, 5.074)]","[(3.1666666666666665, 1.161), (6.233333333333333, 2.209), (0.0, 0.0), (4.483333333333333, 1.393), (11.433333333333334, 6.726)]","[(8.366666666666667, 1.715), (6.583333333333333, 1.131), (4.683333333333334, 1.481), (0.0, 0.0), (13.883333333333333, 6.454)]","[(5.25, 2.371), (5.333333333333333, 2.399), (4.116666666666666, 2.061), (3.65, 1.591), (0.0, 0.0)]"
6,"[(0.0, 0.0), (4.916666666666667, 1.561), (4.716666666666667, 2.003), (8.95, 2.899), (10.466666666666667, 4.311)]","[(11.166666666666666, 2.157), (0.7666666666666667, 0.255), (10.783333333333333, 2.771), (14.483333333333333, 3.969), (15.033333333333333, 5.177)]","[(7.633333333333334, 1.78), (12.966666666666667, 3.342), (0.2833333333333333, 0.092), (10.266666666666667, 3.148), (11.1, 4.103)]","[(12.283333333333333, 2.892), (17.583333333333332, 4.454), (10.45, 3.034), (0.15, 0.059), (11.916666666666666, 4.685)]","[(13.1, 3.802), (18.333333333333332, 5.364), (7.35, 3.361), (14.05, 5.472), (0.0, 0.0)]"
7,"[(0.0, 0.0), (12.616666666666667, 2.737), (11.083333333333334, 4.843), (5.25, 1.583), (14.716666666666667, 5.114)]","[(9.366666666666667, 3.701), (0.0, 0.0), (6.45, 2.191), (8.733333333333333, 1.976), (7.6, 2.388)]","[(7.25, 3.745), (7.366666666666666, 2.696), (0.0, 0.0), (7.733333333333333, 2.966), (6.866666666666666, 2.653)]","[(8.116666666666667, 2.002), (9.0, 1.855), (13.3, 3.229), (0.0, 0.0), (16.1, 4.537)]","[(11.966666666666667, 4.778), (7.15, 2.973), (9.033333333333333, 3.037), (13.133333333333333, 3.999), (0.1, 0.032)]"
8,"[(0.0, 0.0), (5.966666666666667, 1.904), (4.65, 1.792), (4.9, 2.131), (4.516666666666667, 1.653)]","[(3.6, 1.513), (0.2, 0.198), (8.283333333333333, 3.306), (3.1166666666666667, 1.906), (8.55, 3.289)]","[(7.133333333333334, 1.823), (12.916666666666666, 3.699), (0.5166666666666667, 0.147), (10.15, 3.601), (5.433333333333334, 1.991)]","[(3.283333333333333, 1.872), (5.55, 1.83), (8.166666666666666, 5.237), (0.0, 0.0), (7.55, 2.194)]","[(6.9, 1.804), (12.7, 3.68), (4.6, 1.763), (9.2, 3.509), (0.0, 0.0)]"
9,"[(1.1666666666666667, 0.312), (6.95, 3.067), (10.583333333333334, 5.449), (3.283333333333333, 1.841), (6.516666666666667, 3.074)]","[(5.266666666666667, 2.844), (0.0, 0.0), (8.016666666666667, 3.387), (3.9166666666666665, 2.164), (7.333333333333333, 2.842)]","[(11.233333333333333, 4.976), (10.033333333333333, 4.272), (0.0, 0.0), (11.25, 5.143), (6.916666666666667, 2.575)]","[(3.3833333333333333, 1.38), (6.0, 3.226), (6.966666666666667, 3.743), (0.31666666666666665, 0.136), (6.016666666666667, 1.431)]","[(5.883333333333334, 2.673), (11.066666666666666, 4.586), (6.9, 2.708), (5.75, 2.695), (0.0, 0.0)]"
